Lap_Label,Comment_Count
Before Lap,29
1.0,0
2.0,0
3.0,0
4.0,1
5.0,1
6.0,2
7.0,0
8.0,1
9.0,0
10.0,3
11.0,1
12.0,0
13.0,0
14.0,1
15.0,4
16.0,1
17.0,0
18.0,3
19.0,4
20.0,0
21.0,2
22.0,1
23.0,5
24.0,3
25.0,2
26.0,0
27.0,2
28.0,3
29.0,4
30.0,5
31.0,1
32.0,4
33.0,16
34.0,9
35.0,14
36.0,14
37.0,14
38.0,12
39.0,34
40.0,51
41.0,54
42.0,20
43.0,18
44.0,28
45.0,90
46.0,73
47.0,48
48.0,59
49.0,50
50.0,53
51.0,28
52.0,36
53.0,19
54.0,26
55.0,18
56.0,17
57.0,22
58.0,25
59.0,32
60.0,28
61.0,29
62.0,55
63.0,41
64.0,40
65.0,84
66.0,55
67.0,40
68.0,82
69.0,18
70.0,24
After Lap,3475
