lap,event_description,domain_category,novelty,unexpectedness,outcome_relevance
Start,Verstappen begins with lead,Race Start,0,,
1,Bottas hits Hulkenberg and he hits Stroll,Contact,,1,0
3,Norris overtakes Alonso,Overtake,,0,0
3,Russell overtakes Leclerc,Overtake,,0,0
4,Piastri overtakes Alonso,Overtake,,0,0
7,Perez overtakes Leclerc,Overtake,,0,0
10,Hamilton overtakes Alonso,Overtake,,0,0
11,Sainz overtakes Leclerc,Overtake,,0,0
14,Perez overtakes Russell,Overtake,,0,0
17,Sainz overtakes Leclerc,Overtake,,1,0
18,Sainz overtakes Russell,Overtake,,1,1
21,Ricciardo overtakes Ocon,Overtake,,0,0
32,Bottas has a slow stop,Pit Fail,,1,1
35,Hamilton overtakes Piastri,Overtake,,0,0
46,Leclerc overtakes Russell,Overtake,,0,1
48,Stroll lets Alonso through,In-team Swap,,0,0
52,"Tsunoda gets asked to let Ricciardo through, he complains",Radio drama,,0,0
53,Tsunoda lets Ricciardo through,In-team Swap,,1,0
54,Tsunoda complains again,Radio drama,,0,0
Finish,Race over,Race Finish,,,
Finish,Verstappen 1st,Race 1st,0,,
Finish,Perez 2nd,Race 2nd,1,,
Finish,Sainz 3rd,Race 3rd,1,,
