post_timestamp,post_title,post_content
2024-11-23 15:00:27,해리스는 금지어 아니네,완장 해명하라
2024-11-23 15:00:32,유럽애들은 이 시간에 F1 보는게 일상이라고?,하아 괘씸하거든요
2024-11-23 15:00:37,내일 황라리 러셀 원스탑 도박할려나?,3명 모두 원스탑 도박 했는데 포디움 성공하지만 모두 중량미달 실격이면 갤 터지겠지?
2024-11-23 15:01:19,페르난도 알론소 피트레인 과속으로 200유로 벌금,
2024-11-23 15:01:25,페 멕 36점차 레이스3 스프린트1 역전 ㄱㄴ??,못해도 아부다비까지 치열한 경쟁구도 가능??
2024-11-23 15:01:39,메르 프랙티스는 프랙티스일뿐 하겠지?,
2024-11-23 15:02:06,감사합니다,레드불 먹으며 레드불의 체코응원 할게요
2024-11-23 15:02:42,뭔 라스베가스에 에펠탑이 있노,저게 paris hotel인가
2024-11-23 15:02:46,케로쇼 ㄱㄱㄱ,ㄱㄱㄱㄱ
2024-11-23 15:03:05,스피어 개간지 나네 ㅋㅋㅋ,- dc official App
2024-11-23 15:03:13,아 버즈 두고 와서 소리를 못 듣네,
2024-11-23 15:03:23,스피어 좆되네 ㅋㅋㅋ,"시강미쳤노
- dc official App"
2024-11-23 15:03:24,드라이버들 스피어에 정린 팔리겠노 ㅋㅋㅋ,존나 시강이네
2024-11-23 15:03:40,스피어에 가슬리 시강 ㅋㅋㅋ,"지리긴하네
- dc official App"
2024-11-23 15:03:54,케로쇼 진짜 ㅋㅋㅋㅋ,"누르면 해설 나오는 자판기 ㅋㅋ
- dc official App"
2024-11-23 15:03:59,존나 길다 ㅋㅋ,
2024-11-23 15:04:03,우우 완장은 금지어를 풀어라,라스베가스 그랑프리인데 포커도 못치냐고
2024-11-23 15:04:17,와 진짜 직선구간 ㅈㄴ 기네 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅅㅂ
2024-11-23 15:04:18,light blue head padding muste be used 이거,"핑크랑,하늘색 말고 더 있나?
AI도 몰루 시전하는데
- dc official App"
2024-11-23 15:04:29,스피어 ㅈㄴ크네 ㅋㅋ,- dc official App
2024-11-23 15:04:31,아웃랩까지 거의 110초를 안쉬고 말한 ㅋㅋ,ㅋㅋ
2024-11-23 15:04:43,매낄로이 왔노 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ
2024-11-23 15:04:45,레드플래그띄워!!!!,이대로끝내!!!
2024-11-23 15:04:50,재수 끝나고 첫 엪원이네,"이제 안놓치고 다 본다 ㅅㅂㅠㅠ
- dc official App"
2024-11-23 15:05:00,레드불 리어윙 진짜 ㅈㄴ초라하네,ㅋㅋㅋㅋㅋㅋ
2024-11-23 15:05:01,체황 등장!,
2024-11-23 15:05:01,자우버 원투 ㄷㄷ,"ㅋㅋㅋㅋ
- dc official App"
2024-11-23 15:05:20,자우버 원투ㄷㄷ,- dc official App
2024-11-23 15:05:32,저우 각성함?,"보타스보다 빠르노
- dc official App"
2024-11-23 15:05:35,리어윙 시발 ㅋㅋㅋㅋ,
2024-11-23 15:05:36,오라클 진짜 좀 잘린거냐?,
2024-11-23 15:05:38,체황 아직 안짤렸냐,갱단이 무섭긴 무섭노
2024-11-23 15:05:59,윙 ㅅㅂ 손으로 깎았다더니 뭐 저렇게 생겼냐ㅋㅋㅋㅋ,병신같네
2024-11-23 15:06:15,중연) 와 츠노다 폴포지션 퓨ㅠㅠㅠㅠ,우승가자
2024-11-23 15:06:24,스폰서 로고 잘라버리기~~,ㅋㅋ
2024-11-23 15:06:48,병신 가슬리보다 느리네ㅋㅋㅋㅋㅋㅋㅋ,+0.370
2024-11-23 15:06:49,츠밑체 ㄷㄷㄷ,ㄷ
2024-11-23 15:06:51,츠밑체 ㅋㅋ,
2024-11-23 15:06:51,병신 ㅋㅋㅋㅋ,- dc official App
2024-11-23 15:06:52,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,- dc official App
2024-11-23 15:06:53,체황 ㅋㅋㅋ,
2024-11-23 15:06:55,역기체황 ㅋㅋㅋㅋ 개느려 ㅋㅋㅋ,
2024-11-23 15:07:05,물탕경 개빠르네 ㅋㅋ,ㅋ
2024-11-23 15:07:05,그저 체황,"ㅋㅎㅋㅋㅎㅋ츠밑페
- dc official App"
2024-11-23 15:07:06,가슬리치팅함?,왜빠른데
2024-11-23 15:07:06,체황 좆됐노 ㅋㅋㅋ,
2024-11-23 15:07:13,rb 하위팀이 레드불인가,그런듯
2024-11-23 15:07:22,맥 빠르네 쩝,
2024-11-23 15:07:29,메르 개같이 부활ㅋㅋㅋ,ㅋ
2024-11-23 15:07:32,섹스하며 보는중,아주 좋다
2024-11-23 15:07:40,병신 ㄹㅇ또  q1딱이겠다 이새끼 ㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:07:43,맥 메르 지리네,- dc official App
2024-11-23 15:07:45,맥맥메메 ㅋㅌㅋㅋㅋ,
2024-11-23 15:08:02,래드불 망햇노,
2024-11-23 15:08:24,저우 뭐고 ㄷㄷ,- dc official App
2024-11-23 15:08:37,저우 진짜 각성했노,- dc official App
2024-11-23 15:08:58,스트롤은 안 나오나,
2024-11-23 15:09:08,길이 진짜 살얼음낀거처럼 보이네,ㅋㅋㅋㅋㅋ
2024-11-23 15:09:11,저래도 막가놈은 결국 P2 아님 P3 올라올 듯,요태까지 그래왔고 아패로도 계속
2024-11-23 15:09:14,막첵반초ㅇㅇ,
2024-11-23 15:09:17,방금 맨홀 뚜껑보고 흠칫했으면 개추 ㅋㅋㅋㅋㅋㅋㅋ,작년 사인츠가 문득 ㅋㅋ
2024-11-23 15:09:18,레드불 진짜 망했나보네,몽골이 5위면..
2024-11-23 15:09:19,헉,"레드불 비상!
- dc official App"
2024-11-23 15:09:23,시발 드래그머신 ㅋㅋㅋㅋ,ㅋㅋㅋㅋ
2024-11-23 15:09:22,레드불 진짜 ㅈ댓노 ㅋㅋㅋㅋㅋㅋ,
