lap_number,lap_start_kst,lap_end_kst
1,,
2,2024-03-03 00:05:20.099000+09:00,2024-03-03 00:06:56.395000+09:00
3,2024-03-03 00:06:56.378000+09:00,2024-03-03 00:08:33.131000+09:00
4,2024-03-03 00:08:33.130000+09:00,2024-03-03 00:10:09.777000+09:00
5,2024-03-03 00:10:09.704000+09:00,2024-03-03 00:11:46.877000+09:00
6,2024-03-03 00:11:46.978000+09:00,2024-03-03 00:13:24.070000+09:00
7,2024-03-03 00:13:24.080000+09:00,2024-03-03 00:15:01.118000+09:00
8,2024-03-03 00:15:01.132000+09:00,2024-03-03 00:16:38.156000+09:00
9,2024-03-03 00:16:38.044000+09:00,2024-03-03 00:18:15.273000+09:00
10,2024-03-03 00:18:15.404000+09:00,2024-03-03 00:19:52.364000+09:00
11,2024-03-03 00:19:52.275000+09:00,2024-03-03 00:21:29.360000+09:00
12,2024-03-03 00:21:29.336000+09:00,2024-03-03 00:23:06.381000+09:00
13,2024-03-03 00:23:06.399000+09:00,2024-03-03 00:24:43.429000+09:00
14,2024-03-03 00:24:43.393000+09:00,2024-03-03 00:26:20.421000+09:00
15,2024-03-03 00:26:20.469000+09:00,2024-03-03 00:27:57.480000+09:00
16,2024-03-03 00:27:57.507000+09:00,2024-03-03 00:29:34.675000+09:00
17,2024-03-03 00:29:34.687000+09:00,2024-03-03 00:31:14.583000+09:00
18,2024-03-03 00:31:14.461000+09:00,2024-03-03 00:33:12.315000+09:00
19,2024-03-03 00:33:12.478000+09:00,2024-03-03 00:34:47.761000+09:00
20,2024-03-03 00:34:47.658000+09:00,2024-03-03 00:36:22.818000+09:00
21,2024-03-03 00:36:22.851000+09:00,2024-03-03 00:37:58.167000+09:00
22,2024-03-03 00:37:58.157000+09:00,2024-03-03 00:39:33.361000+09:00
23,2024-03-03 00:39:33.340000+09:00,2024-03-03 00:41:08.556000+09:00
24,2024-03-03 00:41:08.681000+09:00,2024-03-03 00:42:43.970000+09:00
25,2024-03-03 00:42:43.916000+09:00,2024-03-03 00:44:19.258000+09:00
26,2024-03-03 00:44:19.229000+09:00,2024-03-03 00:45:54.452000+09:00
27,2024-03-03 00:45:54.455000+09:00,2024-03-03 00:47:30.036000+09:00
28,2024-03-03 00:47:29.971000+09:00,2024-03-03 00:49:05.448000+09:00
29,2024-03-03 00:49:05.560000+09:00,2024-03-03 00:50:41.353000+09:00
30,2024-03-03 00:50:41.350000+09:00,2024-03-03 00:52:17.121000+09:00
31,2024-03-03 00:52:17.140000+09:00,2024-03-03 00:53:52.819000+09:00
32,2024-03-03 00:53:52.829000+09:00,2024-03-03 00:55:28.715000+09:00
33,2024-03-03 00:55:28.580000+09:00,2024-03-03 00:57:04.443000+09:00
34,2024-03-03 00:57:04.451000+09:00,2024-03-03 00:58:40.584000+09:00
35,2024-03-03 00:58:40.909000+09:00,2024-03-03 01:00:16.927000+09:00
36,2024-03-03 01:00:16.699000+09:00,2024-03-03 01:01:52.904000+09:00
37,2024-03-03 01:01:52.940000+09:00,2024-03-03 01:03:32.174000+09:00
38,2024-03-03 01:03:32.041000+09:00,2024-03-03 01:05:28.486000+09:00
39,2024-03-03 01:05:28.544000+09:00,2024-03-03 01:07:01.152000+09:00
40,2024-03-03 01:07:01.342000+09:00,2024-03-03 01:08:37.931000+09:00
41,2024-03-03 01:08:37.813000+09:00,2024-03-03 01:10:13.103000+09:00
42,2024-03-03 01:10:13.056000+09:00,2024-03-03 01:11:47.723000+09:00
43,2024-03-03 01:11:47.752000+09:00,2024-03-03 01:13:21.903000+09:00
44,2024-03-03 01:13:21.891000+09:00,2024-03-03 01:14:56.422000+09:00
45,2024-03-03 01:14:56.406000+09:00,2024-03-03 01:16:30.655000+09:00
46,2024-03-03 01:16:30.705000+09:00,2024-03-03 01:18:04.898000+09:00
47,2024-03-03 01:18:04.873000+09:00,2024-03-03 01:19:39.112000+09:00
48,2024-03-03 01:19:39.113000+09:00,2024-03-03 01:21:13.463000+09:00
49,2024-03-03 01:21:13.504000+09:00,2024-03-03 01:22:47.907000+09:00
50,2024-03-03 01:22:47.788000+09:00,2024-03-03 01:24:22.571000+09:00
51,2024-03-03 01:24:22.630000+09:00,2024-03-03 01:25:56.970000+09:00
52,2024-03-03 01:25:57.029000+09:00,2024-03-03 01:27:31.935000+09:00
53,2024-03-03 01:27:31.849000+09:00,2024-03-03 01:29:07.449000+09:00
54,2024-03-03 01:29:07.484000+09:00,2024-03-03 01:30:42.818000+09:00
55,2024-03-03 01:30:42.853000+09:00,2024-03-03 01:32:18.037000+09:00
56,2024-03-03 01:32:18.038000+09:00,2024-03-03 01:33:52.709000+09:00
57,2024-03-03 01:33:52.694000+09:00,2024-03-03 01:35:27.617000+09:00
