Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
VER,1.0,0 days 00:01:39.510000,False,3407.817,3507.597,2024-12-08 22:56:47.817,2024-12-08 22:58:27.597
VER,2.0,0 days 00:01:54.938000,True,3507.597,3622.535,2024-12-08 22:58:27.597,2024-12-08 23:00:22.535
VER,3.0,0 days 00:01:38.051000,True,3622.535,3720.586,2024-12-08 23:00:22.535,2024-12-08 23:02:00.586
VER,4.0,0 days 00:01:29.504000,True,3720.586,3810.09,2024-12-08 23:02:00.586,2024-12-08 23:03:30.090
VER,5.0,0 days 00:01:29.813000,False,3810.09,3899.903,2024-12-08 23:03:30.090,2024-12-08 23:04:59.903
VER,6.0,0 days 00:01:29.412000,True,3899.903,3989.315,2024-12-08 23:04:59.903,2024-12-08 23:06:29.315
VER,7.0,0 days 00:01:29.885000,False,3989.315,4079.2,2024-12-08 23:06:29.315,2024-12-08 23:07:59.200
VER,8.0,0 days 00:01:29.824000,False,4079.2,4169.024,2024-12-08 23:07:59.200,2024-12-08 23:09:29.024
VER,9.0,0 days 00:01:29.445000,False,4169.024,4258.469,2024-12-08 23:09:29.024,2024-12-08 23:10:58.469
VER,10.0,0 days 00:01:30.449000,False,4258.469,4348.918,2024-12-08 23:10:58.469,2024-12-08 23:12:28.917
VER,11.0,0 days 00:01:30.395000,False,4348.918,4439.313,2024-12-08 23:12:28.917,2024-12-08 23:13:59.313
VER,12.0,0 days 00:01:30.164000,False,4439.313,4529.477,2024-12-08 23:13:59.313,2024-12-08 23:15:29.477
VER,13.0,0 days 00:01:30.178000,False,4529.477,4619.655,2024-12-08 23:15:29.477,2024-12-08 23:16:59.655
VER,14.0,0 days 00:01:30.128000,False,4619.655,4709.783,2024-12-08 23:16:59.655,2024-12-08 23:18:29.783
VER,15.0,0 days 00:01:29.876000,False,4709.783,4799.659,2024-12-08 23:18:29.783,2024-12-08 23:19:59.659
VER,16.0,0 days 00:01:30.047000,False,4799.659,4889.706,2024-12-08 23:19:59.659,2024-12-08 23:21:29.706
VER,17.0,0 days 00:01:29.909000,False,4889.706,4979.615,2024-12-08 23:21:29.706,2024-12-08 23:22:59.615
VER,18.0,0 days 00:01:29.826000,False,4979.615,5069.441,2024-12-08 23:22:59.615,2024-12-08 23:24:29.441
VER,19.0,0 days 00:01:30.076000,False,5069.441,5159.517,2024-12-08 23:24:29.441,2024-12-08 23:25:59.517
VER,20.0,0 days 00:01:30.004000,False,5159.517,5249.521,2024-12-08 23:25:59.517,2024-12-08 23:27:29.521
VER,21.0,0 days 00:01:29.695000,False,5249.521,5339.216,2024-12-08 23:27:29.521,2024-12-08 23:28:59.216
VER,22.0,0 days 00:01:29.889000,False,5339.216,5429.105,2024-12-08 23:28:59.216,2024-12-08 23:30:29.105
VER,23.0,0 days 00:01:29.939000,False,5429.105,5519.044,2024-12-08 23:30:29.105,2024-12-08 23:31:59.044
VER,24.0,0 days 00:01:29.750000,False,5519.044,5608.794,2024-12-08 23:31:59.044,2024-12-08 23:33:28.794
VER,25.0,0 days 00:01:29.852000,False,5608.794,5698.646,2024-12-08 23:33:28.794,2024-12-08 23:34:58.646
VER,26.0,0 days 00:01:30.268000,False,5698.646,5788.914,2024-12-08 23:34:58.646,2024-12-08 23:36:28.914
VER,27.0,0 days 00:01:29.897000,False,5788.914,5878.811,2024-12-08 23:36:28.914,2024-12-08 23:37:58.811
VER,28.0,0 days 00:01:30.274000,False,5878.811,5969.085,2024-12-08 23:37:58.811,2024-12-08 23:39:29.085
VER,29.0,0 days 00:01:31.857000,False,5969.085,6060.942,2024-12-08 23:39:29.085,2024-12-08 23:41:00.942
VER,30.0,0 days 00:01:59.495000,False,6060.942,6180.437,2024-12-08 23:41:00.942,2024-12-08 23:43:00.437
VER,31.0,0 days 00:01:28.088000,True,6180.437,6268.525,2024-12-08 23:43:00.437,2024-12-08 23:44:28.525
VER,32.0,0 days 00:01:28.528000,False,6268.525,6357.053,2024-12-08 23:44:28.525,2024-12-08 23:45:57.053
VER,33.0,0 days 00:01:28.333000,False,6357.053,6445.386,2024-12-08 23:45:57.053,2024-12-08 23:47:25.386
VER,34.0,0 days 00:01:28.409000,False,6445.386,6533.795,2024-12-08 23:47:25.386,2024-12-08 23:48:53.795
VER,35.0,0 days 00:01:29.111000,False,6533.795,6622.906,2024-12-08 23:48:53.795,2024-12-08 23:50:22.906
VER,36.0,0 days 00:01:28.557000,False,6622.906,6711.463,2024-12-08 23:50:22.906,2024-12-08 23:51:51.463
VER,37.0,0 days 00:01:28.413000,False,6711.463,6799.876,2024-12-08 23:51:51.463,2024-12-08 23:53:19.876
VER,38.0,0 days 00:01:28.360000,False,6799.876,6888.236,2024-12-08 23:53:19.876,2024-12-08 23:54:48.236
VER,39.0,0 days 00:01:28.296000,False,6888.236,6976.532,2024-12-08 23:54:48.236,2024-12-08 23:56:16.532
VER,40.0,0 days 00:01:28.345000,False,6976.532,7064.877,2024-12-08 23:56:16.532,2024-12-08 23:57:44.877
VER,41.0,0 days 00:01:28.439000,False,7064.877,7153.316,2024-12-08 23:57:44.877,2024-12-08 23:59:13.316
VER,42.0,0 days 00:01:28.113000,False,7153.316,7241.429,2024-12-08 23:59:13.316,2024-12-09 00:00:41.429
VER,43.0,0 days 00:01:28.089000,False,7241.429,7329.518,2024-12-09 00:00:41.429,2024-12-09 00:02:09.518
VER,44.0,0 days 00:01:28.501000,False,7329.518,7418.019,2024-12-09 00:02:09.518,2024-12-09 00:03:38.019
VER,45.0,0 days 00:01:28.067000,True,7418.019,7506.086,2024-12-09 00:03:38.019,2024-12-09 00:05:06.086
VER,46.0,0 days 00:01:28.231000,False,7506.086,7594.317,2024-12-09 00:05:06.086,2024-12-09 00:06:34.317
VER,47.0,0 days 00:01:28.304000,False,7594.317,7682.621,2024-12-09 00:06:34.317,2024-12-09 00:08:02.621
VER,48.0,0 days 00:01:27.893000,True,7682.621,7770.514,2024-12-09 00:08:02.621,2024-12-09 00:09:30.514
VER,49.0,0 days 00:01:27.927000,False,7770.514,7858.441,2024-12-09 00:09:30.514,2024-12-09 00:10:58.441
