LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-03-24 13:58:29.232,2024-03-24 14:00:03.100,19
2.0,2024-03-24 14:00:03.100,2024-03-24 14:01:27.043,19
3.0,2024-03-24 14:01:27.043,2024-03-24 14:02:50.310,19
4.0,2024-03-24 14:02:50.310,2024-03-24 14:04:14.587,19
5.0,2024-03-24 14:04:14.035,2024-03-24 14:05:38.354,18
6.0,2024-03-24 14:05:38.354,2024-03-24 14:07:03.654,18
7.0,2024-03-24 14:07:03.654,2024-03-24 14:08:29.081,18
8.0,2024-03-24 14:08:29.081,2024-03-24 14:09:56.951,18
9.0,2024-03-24 14:09:56.951,2024-03-24 14:11:24.207,18
10.0,2024-03-24 14:11:24.207,2024-03-24 14:12:48.642,18
11.0,2024-03-24 14:12:48.642,2024-03-24 14:14:11.822,18
12.0,2024-03-24 14:14:11.822,2024-03-24 14:15:34.918,18
13.0,2024-03-24 14:15:34.918,2024-03-24 14:16:58.065,18
14.0,2024-03-24 14:16:58.065,2024-03-24 14:18:22.805,18
15.0,2024-03-24 14:18:22.805,2024-03-24 14:19:46.596,18
16.0,2024-03-24 14:19:46.596,2024-03-24 14:21:15.947,18
17.0,2024-03-24 14:21:12.302,2024-03-24 14:22:57.056,17
18.0,2024-03-24 14:22:57.056,2024-03-24 14:24:23.461,17
19.0,2024-03-24 14:24:23.461,2024-03-24 14:25:46.123,17
20.0,2024-03-24 14:25:46.123,2024-03-24 14:27:08.673,17
21.0,2024-03-24 14:27:08.673,2024-03-24 14:28:31.320,17
22.0,2024-03-24 14:28:31.320,2024-03-24 14:29:53.902,17
23.0,2024-03-24 14:29:53.902,2024-03-24 14:31:16.492,17
24.0,2024-03-24 14:31:16.492,2024-03-24 14:32:39.072,17
25.0,2024-03-24 14:32:39.072,2024-03-24 14:34:01.681,17
26.0,2024-03-24 14:34:01.681,2024-03-24 14:35:24.492,17
27.0,2024-03-24 14:35:24.492,2024-03-24 14:36:48.140,17
28.0,2024-03-24 14:36:48.140,2024-03-24 14:38:11.241,17
29.0,2024-03-24 14:38:11.241,2024-03-24 14:39:34.811,17
30.0,2024-03-24 14:39:34.811,2024-03-24 14:40:57.996,17
31.0,2024-03-24 14:40:57.996,2024-03-24 14:42:20.649,17
32.0,2024-03-24 14:42:20.649,2024-03-24 14:43:43.293,17
33.0,2024-03-24 14:43:43.293,2024-03-24 14:45:06.830,17
34.0,2024-03-24 14:45:06.830,2024-03-24 14:46:31.056,17
35.0,2024-03-24 14:46:31.056,2024-03-24 14:47:58.143,17
36.0,2024-03-24 14:47:58.143,2024-03-24 14:49:23.710,17
37.0,2024-03-24 14:49:23.710,2024-03-24 14:50:47.565,17
38.0,2024-03-24 14:50:47.565,2024-03-24 14:52:10.294,17
39.0,2024-03-24 14:52:10.294,2024-03-24 14:53:33.184,17
40.0,2024-03-24 14:53:33.184,2024-03-24 14:54:56.482,17
41.0,2024-03-24 14:54:56.482,2024-03-24 14:56:22.049,17
42.0,2024-03-24 14:56:22.049,2024-03-24 14:57:45.943,17
43.0,2024-03-24 14:57:45.943,2024-03-24 14:59:08.192,17
44.0,2024-03-24 14:59:08.192,2024-03-24 15:00:29.687,17
45.0,2024-03-24 15:00:29.687,2024-03-24 15:01:51.834,17
46.0,2024-03-24 15:01:51.834,2024-03-24 15:03:13.330,17
47.0,2024-03-24 15:03:13.330,2024-03-24 15:04:34.368,17
48.0,2024-03-24 15:04:34.368,2024-03-24 15:05:55.570,17
49.0,2024-03-24 15:05:55.570,2024-03-24 15:07:16.632,17
50.0,2024-03-24 15:07:16.632,2024-03-24 15:08:37.941,17
51.0,2024-03-24 15:08:37.941,2024-03-24 15:09:59.140,17
52.0,2024-03-24 15:09:59.140,2024-03-24 15:11:20.360,17
53.0,2024-03-24 15:11:20.360,2024-03-24 15:12:41.804,17
54.0,2024-03-24 15:12:41.804,2024-03-24 15:14:03.643,17
55.0,2024-03-24 15:14:03.643,2024-03-24 15:15:25.418,17
56.0,2024-03-24 15:15:25.418,2024-03-24 15:16:48.616,17
57.0,2024-03-24 15:16:48.616,2024-03-24 15:18:34.572,17
58.0,2024-03-24 15:17:52.450,2024-03-24 15:19:49.075,9
