Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
PIA,1.0,0 days 00:01:26.746000,False,3304.938,3391.948,2024-07-21 22:55:04.938,2024-07-21 22:56:31.948
PIA,2.0,0 days 00:01:24.038000,True,3391.948,3475.986,2024-07-21 22:56:31.948,2024-07-21 22:57:55.986
PIA,3.0,0 days 00:01:24.401000,False,3475.986,3560.387,2024-07-21 22:57:55.986,2024-07-21 22:59:20.387
PIA,4.0,0 days 00:01:24.115000,False,3560.387,3644.502,2024-07-21 22:59:20.387,2024-07-21 23:00:44.502
PIA,5.0,0 days 00:01:23.796000,True,3644.502,3728.298,2024-07-21 23:00:44.502,2024-07-21 23:02:08.298
PIA,6.0,0 days 00:01:23.846000,False,3728.298,3812.144,2024-07-21 23:02:08.298,2024-07-21 23:03:32.144
PIA,7.0,0 days 00:01:24.110000,False,3812.144,3896.254,2024-07-21 23:03:32.144,2024-07-21 23:04:56.254
PIA,8.0,0 days 00:01:23.892000,False,3896.254,3980.146,2024-07-21 23:04:56.254,2024-07-21 23:06:20.146
PIA,9.0,0 days 00:01:24.206000,False,3980.146,4064.352,2024-07-21 23:06:20.146,2024-07-21 23:07:44.352
PIA,10.0,0 days 00:01:24.257000,False,4064.352,4148.609,2024-07-21 23:07:44.352,2024-07-21 23:09:08.609
PIA,11.0,0 days 00:01:24.062000,False,4148.609,4232.671,2024-07-21 23:09:08.609,2024-07-21 23:10:32.671
PIA,12.0,0 days 00:01:23.893000,False,4232.671,4316.564,2024-07-21 23:10:32.671,2024-07-21 23:11:56.564
PIA,13.0,0 days 00:01:23.887000,False,4316.564,4400.451,2024-07-21 23:11:56.564,2024-07-21 23:13:20.451
PIA,14.0,0 days 00:01:24.683000,False,4400.451,4485.134,2024-07-21 23:13:20.451,2024-07-21 23:14:45.134
PIA,15.0,0 days 00:01:24.299000,False,4485.134,4569.433,2024-07-21 23:14:45.134,2024-07-21 23:16:09.433
PIA,16.0,0 days 00:01:24.237000,False,4569.433,4653.67,2024-07-21 23:16:09.433,2024-07-21 23:17:33.670
PIA,17.0,0 days 00:01:24.248000,False,4653.67,4737.918,2024-07-21 23:17:33.670,2024-07-21 23:18:57.918
PIA,18.0,0 days 00:01:26.496000,False,4737.918,4824.414,2024-07-21 23:18:57.918,2024-07-21 23:20:24.414
PIA,19.0,0 days 00:01:42.479000,False,4824.414,4926.893,2024-07-21 23:20:24.414,2024-07-21 23:22:06.893
PIA,20.0,0 days 00:01:23.603000,True,4926.893,5010.496,2024-07-21 23:22:06.893,2024-07-21 23:23:30.496
PIA,21.0,0 days 00:01:23.474000,True,5010.496,5093.97,2024-07-21 23:23:30.496,2024-07-21 23:24:53.970
PIA,22.0,0 days 00:01:23.267000,True,5093.97,5177.237,2024-07-21 23:24:53.970,2024-07-21 23:26:17.237
PIA,23.0,0 days 00:01:23.102000,True,5177.237,5260.339,2024-07-21 23:26:17.237,2024-07-21 23:27:40.339
PIA,24.0,0 days 00:01:23.095000,True,5260.339,5343.434,2024-07-21 23:27:40.339,2024-07-21 23:29:03.434
PIA,25.0,0 days 00:01:22.962000,True,5343.434,5426.396,2024-07-21 23:29:03.434,2024-07-21 23:30:26.396
PIA,26.0,0 days 00:01:22.654000,True,5426.396,5509.05,2024-07-21 23:30:26.396,2024-07-21 23:31:49.050
PIA,27.0,0 days 00:01:22.747000,False,5509.05,5591.797,2024-07-21 23:31:49.050,2024-07-21 23:33:11.797
PIA,28.0,0 days 00:01:22.790000,False,5591.797,5674.587,2024-07-21 23:33:11.797,2024-07-21 23:34:34.587
PIA,29.0,0 days 00:01:22.704000,False,5674.587,5757.291,2024-07-21 23:34:34.587,2024-07-21 23:35:57.291
PIA,30.0,0 days 00:01:23.041000,False,5757.291,5840.332,2024-07-21 23:35:57.291,2024-07-21 23:37:20.332
PIA,31.0,0 days 00:01:23.172000,False,5840.332,5923.504,2024-07-21 23:37:20.332,2024-07-21 23:38:43.504
PIA,32.0,0 days 00:01:23.397000,False,5923.504,6006.901,2024-07-21 23:38:43.504,2024-07-21 23:40:06.901
PIA,33.0,0 days 00:01:25.863000,False,6006.901,6092.764,2024-07-21 23:40:06.901,2024-07-21 23:41:32.764
PIA,34.0,0 days 00:01:24.729000,False,6092.764,6177.493,2024-07-21 23:41:32.764,2024-07-21 23:42:57.493
PIA,35.0,0 days 00:01:24.557000,False,6177.493,6262.05,2024-07-21 23:42:57.493,2024-07-21 23:44:22.050
PIA,36.0,0 days 00:01:24.193000,False,6262.05,6346.243,2024-07-21 23:44:22.050,2024-07-21 23:45:46.243
PIA,37.0,0 days 00:01:24.384000,False,6346.243,6430.627,2024-07-21 23:45:46.243,2024-07-21 23:47:10.627
PIA,38.0,0 days 00:01:24.171000,False,6430.627,6514.798,2024-07-21 23:47:10.627,2024-07-21 23:48:34.798
PIA,39.0,0 days 00:01:24.240000,False,6514.798,6599.038,2024-07-21 23:48:34.798,2024-07-21 23:49:59.038
PIA,40.0,0 days 00:01:23.760000,False,6599.038,6682.798,2024-07-21 23:49:59.038,2024-07-21 23:51:22.798
PIA,41.0,0 days 00:01:23.950000,False,6682.798,6766.748,2024-07-21 23:51:22.798,2024-07-21 23:52:46.748
PIA,42.0,0 days 00:01:24.071000,False,6766.748,6850.819,2024-07-21 23:52:46.748,2024-07-21 23:54:10.819
PIA,43.0,0 days 00:01:24.200000,False,6850.819,6935.019,2024-07-21 23:54:10.819,2024-07-21 23:55:35.019
PIA,44.0,0 days 00:01:24.033000,False,6935.019,7019.052,2024-07-21 23:55:35.019,2024-07-21 23:56:59.052
PIA,45.0,0 days 00:01:24.104000,False,7019.052,7103.156,2024-07-21 23:56:59.052,2024-07-21 23:58:23.156
PIA,46.0,0 days 00:01:24.211000,False,7103.156,7187.367,2024-07-21 23:58:23.156,2024-07-21 23:59:47.367
PIA,47.0,0 days 00:01:26.252000,False,7187.367,7273.619,2024-07-21 23:59:47.367,2024-07-22 00:01:13.619
PIA,48.0,0 days 00:01:41.384000,False,7273.619,7375.003,2024-07-22 00:01:13.619,2024-07-22 00:02:55.003
PIA,49.0,0 days 00:01:22.390000,True,7375.003,7457.393,2024-07-22 00:02:55.003,2024-07-22 00:04:17.393
PIA,50.0,0 days 00:01:21.863000,True,7457.393,7539.256,2024-07-22 00:04:17.393,2024-07-22 00:05:39.256
PIA,51.0,0 days 00:01:21.716000,True,7539.256,7620.972,2024-07-22 00:05:39.256,2024-07-22 00:07:00.972
PIA,52.0,0 days 00:01:21.861000,False,7620.972,7702.833,2024-07-22 00:07:00.972,2024-07-22 00:08:22.833
PIA,53.0,0 days 00:01:22.367000,False,7702.833,7785.2,2024-07-22 00:08:22.833,2024-07-22 00:09:45.200
PIA,54.0,0 days 00:01:22.161000,False,7785.2,7867.361,2024-07-22 00:09:45.200,2024-07-22 00:11:07.361
PIA,55.0,0 days 00:01:21.858000,False,7867.361,7949.219,2024-07-22 00:11:07.361,2024-07-22 00:12:29.219
PIA,56.0,0 days 00:01:22.191000,False,7949.219,8031.41,2024-07-22 00:12:29.219,2024-07-22 00:13:51.410
PIA,57.0,0 days 00:01:22.505000,False,8031.41,8113.915,2024-07-22 00:13:51.410,2024-07-22 00:15:13.915
PIA,58.0,0 days 00:01:22.431000,False,8113.915,8196.346,2024-07-22 00:15:13.915,2024-07-22 00:16:36.346
PIA,59.0,0 days 00:01:22.008000,False,8196.346,8278.354,2024-07-22 00:16:36.346,2024-07-22 00:17:58.353
PIA,60.0,0 days 00:01:22.542000,False,8278.354,8360.896,2024-07-22 00:17:58.353,2024-07-22 00:19:20.896
PIA,61.0,0 days 00:01:22.060000,False,8360.896,8442.956,2024-07-22 00:19:20.896,2024-07-22 00:20:42.956
PIA,62.0,0 days 00:01:22.157000,False,8442.956,8525.113,2024-07-22 00:20:42.956,2024-07-22 00:22:05.112
PIA,63.0,0 days 00:01:22.459000,False,8525.113,8607.572,2024-07-22 00:22:05.112,2024-07-22 00:23:27.572
PIA,64.0,0 days 00:01:23.060000,False,8607.572,8690.632,2024-07-22 00:23:27.572,2024-07-22 00:24:50.632
PIA,65.0,0 days 00:01:22.771000,False,8690.632,8773.403,2024-07-22 00:24:50.632,2024-07-22 00:26:13.403
PIA,66.0,0 days 00:01:22.645000,False,8773.403,8856.048,2024-07-22 00:26:13.403,2024-07-22 00:27:36.048
PIA,67.0,0 days 00:01:22.620000,False,8856.048,8938.668,2024-07-22 00:27:36.048,2024-07-22 00:28:58.668
PIA,68.0,0 days 00:01:22.999000,False,8938.668,9021.667,2024-07-22 00:28:58.668,2024-07-22 00:30:21.667
PIA,69.0,0 days 00:01:22.597000,False,9021.667,9104.264,2024-07-22 00:30:21.667,2024-07-22 00:31:44.264
PIA,70.0,0 days 00:01:22.927000,False,9104.264,9187.191,2024-07-22 00:31:44.264,2024-07-22 00:33:07.191
NOR,1.0,0 days 00:01:29.389000,False,3304.938,3394.591,2024-07-21 22:55:04.938,2024-07-21 22:56:34.591
NOR,2.0,0 days 00:01:24.240000,True,3394.591,3478.831,2024-07-21 22:56:34.591,2024-07-21 22:57:58.831
NOR,3.0,0 days 00:01:24.393000,False,3478.831,3563.224,2024-07-21 22:57:58.831,2024-07-21 22:59:23.224
NOR,4.0,0 days 00:01:23.627000,True,3563.224,3646.851,2024-07-21 22:59:23.224,2024-07-21 23:00:46.851
NOR,5.0,0 days 00:01:23.804000,False,3646.851,3730.655,2024-07-21 23:00:46.851,2024-07-21 23:02:10.655
NOR,6.0,0 days 00:01:24.045000,False,3730.655,3814.7,2024-07-21 23:02:10.655,2024-07-21 23:03:34.700
NOR,7.0,0 days 00:01:24.085000,False,3814.7,3898.785,2024-07-21 23:03:34.700,2024-07-21 23:04:58.785
NOR,8.0,0 days 00:01:24.027000,False,3898.785,3982.812,2024-07-21 23:04:58.785,2024-07-21 23:06:22.812
NOR,9.0,0 days 00:01:24.225000,False,3982.812,4067.037,2024-07-21 23:06:22.812,2024-07-21 23:07:47.037
NOR,10.0,0 days 00:01:24.508000,False,4067.037,4151.545,2024-07-21 23:07:47.037,2024-07-21 23:09:11.545
NOR,11.0,0 days 00:01:24.245000,False,4151.545,4235.79,2024-07-21 23:09:11.545,2024-07-21 23:10:35.790
NOR,12.0,0 days 00:01:24.042000,False,4235.79,4319.832,2024-07-21 23:10:35.790,2024-07-21 23:11:59.832
NOR,13.0,0 days 00:01:24.343000,False,4319.832,4404.175,2024-07-21 23:11:59.832,2024-07-21 23:13:24.175
NOR,14.0,0 days 00:01:24.367000,False,4404.175,4488.542,2024-07-21 23:13:24.175,2024-07-21 23:14:48.542
NOR,15.0,0 days 00:01:24.334000,False,4488.542,4572.876,2024-07-21 23:14:48.542,2024-07-21 23:16:12.876
NOR,16.0,0 days 00:01:24.296000,False,4572.876,4657.172,2024-07-21 23:16:12.876,2024-07-21 23:17:37.172
NOR,17.0,0 days 00:01:26.485000,False,4657.172,4743.657,2024-07-21 23:17:37.172,2024-07-21 23:19:03.657
NOR,18.0,0 days 00:01:41.807000,False,4743.657,4845.464,2024-07-21 23:19:03.657,2024-07-21 23:20:45.464
NOR,19.0,0 days 00:01:23.779000,False,4845.464,4929.243,2024-07-21 23:20:45.464,2024-07-21 23:22:09.243
NOR,20.0,0 days 00:01:23.455000,True,4929.243,5012.698,2024-07-21 23:22:09.243,2024-07-21 23:23:32.698
NOR,21.0,0 days 00:01:23.663000,False,5012.698,5096.361,2024-07-21 23:23:32.698,2024-07-21 23:24:56.361
NOR,22.0,0 days 00:01:23.514000,False,5096.361,5179.875,2024-07-21 23:24:56.361,2024-07-21 23:26:19.875
NOR,23.0,0 days 00:01:23.419000,True,5179.875,5263.294,2024-07-21 23:26:19.875,2024-07-21 23:27:43.294
NOR,24.0,0 days 00:01:23.354000,True,5263.294,5346.648,2024-07-21 23:27:43.294,2024-07-21 23:29:06.648
NOR,25.0,0 days 00:01:23.064000,True,5346.648,5429.712,2024-07-21 23:29:06.648,2024-07-21 23:30:29.712
NOR,26.0,0 days 00:01:23.013000,True,5429.712,5512.725,2024-07-21 23:30:29.712,2024-07-21 23:31:52.725
NOR,27.0,0 days 00:01:22.872000,True,5512.725,5595.597,2024-07-21 23:31:52.725,2024-07-21 23:33:15.597
NOR,28.0,0 days 00:01:22.861000,True,5595.597,5678.458,2024-07-21 23:33:15.597,2024-07-21 23:34:38.458
NOR,29.0,0 days 00:01:22.820000,True,5678.458,5761.278,2024-07-21 23:34:38.458,2024-07-21 23:36:01.278
NOR,30.0,0 days 00:01:23.323000,False,5761.278,5844.601,2024-07-21 23:36:01.278,2024-07-21 23:37:24.601
NOR,31.0,0 days 00:01:23.247000,False,5844.601,5927.848,2024-07-21 23:37:24.601,2024-07-21 23:38:47.848
NOR,32.0,0 days 00:01:23.456000,False,5927.848,6011.304,2024-07-21 23:38:47.848,2024-07-21 23:40:11.304
NOR,33.0,0 days 00:01:23.992000,False,6011.304,6095.296,2024-07-21 23:40:11.304,2024-07-21 23:41:35.296
NOR,34.0,0 days 00:01:24.154000,False,6095.296,6179.45,2024-07-21 23:41:35.296,2024-07-21 23:42:59.450
