Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
VER,1.0,0 days 00:01:22.881000,False,3336.608,3419.731,2024-05-19 22:55:36.608,2024-05-19 22:56:59.731
VER,2.0,0 days 00:01:20.596000,True,3419.731,3500.327,2024-05-19 22:56:59.731,2024-05-19 22:58:20.327
VER,3.0,0 days 00:01:20.872000,False,3500.327,3581.199,2024-05-19 22:58:20.327,2024-05-19 22:59:41.199
VER,4.0,0 days 00:01:20.671000,False,3581.199,3661.87,2024-05-19 22:59:41.199,2024-05-19 23:01:01.870
VER,5.0,0 days 00:01:20.734000,False,3661.87,3742.604,2024-05-19 23:01:01.870,2024-05-19 23:02:22.604
VER,6.0,0 days 00:01:20.868000,False,3742.604,3823.472,2024-05-19 23:02:22.604,2024-05-19 23:03:43.472
VER,7.0,0 days 00:01:20.868000,False,3823.472,3904.34,2024-05-19 23:03:43.472,2024-05-19 23:05:04.340
VER,8.0,0 days 00:01:20.762000,False,3904.34,3985.102,2024-05-19 23:05:04.340,2024-05-19 23:06:25.102
VER,9.0,0 days 00:01:20.543000,True,3985.102,4065.645,2024-05-19 23:06:25.102,2024-05-19 23:07:45.645
VER,10.0,0 days 00:01:21.093000,False,4065.645,4146.738,2024-05-19 23:07:45.645,2024-05-19 23:09:06.738
VER,11.0,0 days 00:01:20.885000,False,4146.738,4227.623,2024-05-19 23:09:06.738,2024-05-19 23:10:27.622
VER,12.0,0 days 00:01:21.287000,False,4227.623,4308.91,2024-05-19 23:10:27.622,2024-05-19 23:11:48.910
VER,13.0,0 days 00:01:21.073000,False,4308.91,4389.983,2024-05-19 23:11:48.910,2024-05-19 23:13:09.983
VER,14.0,0 days 00:01:20.982000,False,4389.983,4470.965,2024-05-19 23:13:09.983,2024-05-19 23:14:30.965
VER,15.0,0 days 00:01:21.323000,False,4470.965,4552.288,2024-05-19 23:14:30.965,2024-05-19 23:15:52.288
VER,16.0,0 days 00:01:21.362000,False,4552.288,4633.65,2024-05-19 23:15:52.288,2024-05-19 23:17:13.650
VER,17.0,0 days 00:01:21.328000,False,4633.65,4714.978,2024-05-19 23:17:13.650,2024-05-19 23:18:34.978
VER,18.0,0 days 00:01:21.411000,False,4714.978,4796.389,2024-05-19 23:18:34.978,2024-05-19 23:19:56.389
VER,19.0,0 days 00:01:21.517000,False,4796.389,4877.906,2024-05-19 23:19:56.389,2024-05-19 23:21:17.906
VER,20.0,0 days 00:01:21.550000,False,4877.906,4959.456,2024-05-19 23:21:17.906,2024-05-19 23:22:39.456
VER,21.0,0 days 00:01:21.608000,False,4959.456,5041.064,2024-05-19 23:22:39.456,2024-05-19 23:24:01.064
VER,22.0,0 days 00:01:21.763000,False,5041.064,5122.827,2024-05-19 23:24:01.064,2024-05-19 23:25:22.827
VER,23.0,0 days 00:01:21.988000,False,5122.827,5204.815,2024-05-19 23:25:22.827,2024-05-19 23:26:44.815
VER,24.0,0 days 00:01:26.212000,False,5204.815,5291.027,2024-05-19 23:26:44.815,2024-05-19 23:28:11.027
VER,25.0,0 days 00:01:43.602000,False,5291.027,5394.629,2024-05-19 23:28:11.027,2024-05-19 23:29:54.629
