Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
LEC,1.0,0 days 00:01:28.179000,False,3350.494,3438.931,2024-09-01 22:55:50.494,2024-09-01 22:57:18.931
LEC,2.0,0 days 00:01:25.396000,True,3438.931,3524.327,2024-09-01 22:57:18.931,2024-09-01 22:58:44.327
LEC,3.0,0 days 00:01:25.179000,True,3524.327,3609.506,2024-09-01 22:58:44.327,2024-09-01 23:00:09.506
LEC,4.0,0 days 00:01:24.810000,True,3609.506,3694.316,2024-09-01 23:00:09.506,2024-09-01 23:01:34.316
LEC,5.0,0 days 00:01:24.603000,True,3694.316,3778.919,2024-09-01 23:01:34.316,2024-09-01 23:02:58.919
LEC,6.0,0 days 00:01:24.663000,False,3778.919,3863.582,2024-09-01 23:02:58.919,2024-09-01 23:04:23.582
LEC,7.0,0 days 00:01:24.434000,True,3863.582,3948.016,2024-09-01 23:04:23.582,2024-09-01 23:05:48.016
LEC,8.0,0 days 00:01:24.569000,False,3948.016,4032.585,2024-09-01 23:05:48.016,2024-09-01 23:07:12.585
LEC,9.0,0 days 00:01:24.362000,True,4032.585,4116.947,2024-09-01 23:07:12.585,2024-09-01 23:08:36.947
LEC,10.0,0 days 00:01:24.432000,False,4116.947,4201.379,2024-09-01 23:08:36.947,2024-09-01 23:10:01.379
LEC,11.0,0 days 00:01:24.846000,False,4201.379,4286.225,2024-09-01 23:10:01.379,2024-09-01 23:11:26.225
LEC,12.0,0 days 00:01:24.916000,False,4286.225,4371.141,2024-09-01 23:11:26.225,2024-09-01 23:12:51.140
LEC,13.0,0 days 00:01:25.529000,False,4371.141,4456.67,2024-09-01 23:12:51.140,2024-09-01 23:14:16.670
LEC,14.0,0 days 00:01:25.606000,False,4456.67,4542.276,2024-09-01 23:14:16.670,2024-09-01 23:15:42.276
LEC,15.0,0 days 00:01:30.192000,False,4542.276,4632.468,2024-09-01 23:15:42.276,2024-09-01 23:17:12.468
LEC,16.0,0 days 00:01:44.888000,False,4632.468,4737.356,2024-09-01 23:17:12.468,2024-09-01 23:18:57.356
LEC,17.0,0 days 00:01:24.270000,True,4737.356,4821.626,2024-09-01 23:18:57.356,2024-09-01 23:20:21.626
LEC,18.0,0 days 00:01:23.875000,True,4821.626,4905.501,2024-09-01 23:20:21.626,2024-09-01 23:21:45.501
LEC,19.0,0 days 00:01:24.203000,False,4905.501,4989.704,2024-09-01 23:21:45.501,2024-09-01 23:23:09.704
LEC,20.0,0 days 00:01:23.826000,True,4989.704,5073.53,2024-09-01 23:23:09.704,2024-09-01 23:24:33.530
LEC,21.0,0 days 00:01:23.880000,False,5073.53,5157.41,2024-09-01 23:24:33.530,2024-09-01 23:25:57.410
LEC,22.0,0 days 00:01:23.768000,True,5157.41,5241.178,2024-09-01 23:25:57.410,2024-09-01 23:27:21.178
LEC,23.0,0 days 00:01:23.864000,False,5241.178,5325.042,2024-09-01 23:27:21.178,2024-09-01 23:28:45.042
LEC,24.0,0 days 00:01:23.640000,True,5325.042,5408.682,2024-09-01 23:28:45.042,2024-09-01 23:30:08.682
LEC,25.0,0 days 00:01:23.590000,True,5408.682,5492.272,2024-09-01 23:30:08.682,2024-09-01 23:31:32.272
LEC,26.0,0 days 00:01:23.321000,True,5492.272,5575.593,2024-09-01 23:31:32.272,2024-09-01 23:32:55.593
LEC,27.0,0 days 00:01:23.534000,False,5575.593,5659.127,2024-09-01 23:32:55.593,2024-09-01 23:34:19.127
LEC,28.0,0 days 00:01:23.284000,True,5659.127,5742.411,2024-09-01 23:34:19.127,2024-09-01 23:35:42.411
LEC,29.0,0 days 00:01:23.229000,True,5742.411,5825.64,2024-09-01 23:35:42.411,2024-09-01 23:37:05.640
LEC,30.0,0 days 00:01:23.359000,False,5825.64,5908.999,2024-09-01 23:37:05.640,2024-09-01 23:38:28.999
LEC,31.0,0 days 00:01:23.972000,False,5908.999,5992.971,2024-09-01 23:38:28.999,2024-09-01 23:39:52.971
LEC,32.0,0 days 00:01:23.274000,False,5992.971,6076.245,2024-09-01 23:39:52.971,2024-09-01 23:41:16.245
LEC,33.0,0 days 00:01:23.226000,True,6076.245,6159.471,2024-09-01 23:41:16.245,2024-09-01 23:42:39.471
LEC,34.0,0 days 00:01:23.430000,False,6159.471,6242.901,2024-09-01 23:42:39.471,2024-09-01 23:44:02.901
LEC,35.0,0 days 00:01:23.681000,False,6242.901,6326.582,2024-09-01 23:44:02.901,2024-09-01 23:45:26.582
LEC,36.0,0 days 00:01:23.714000,False,6326.582,6410.296,2024-09-01 23:45:26.582,2024-09-01 23:46:50.296
LEC,37.0,0 days 00:01:23.550000,False,6410.296,6493.846,2024-09-01 23:46:50.296,2024-09-01 23:48:13.846
LEC,38.0,0 days 00:01:23.624000,False,6493.846,6577.47,2024-09-01 23:48:13.846,2024-09-01 23:49:37.470
LEC,39.0,0 days 00:01:23.718000,False,6577.47,6661.188,2024-09-01 23:49:37.470,2024-09-01 23:51:01.188
LEC,40.0,0 days 00:01:23.690000,False,6661.188,6744.878,2024-09-01 23:51:01.188,2024-09-01 23:52:24.878
LEC,41.0,0 days 00:01:23.611000,False,6744.878,6828.489,2024-09-01 23:52:24.878,2024-09-01 23:53:48.489
LEC,42.0,0 days 00:01:23.670000,False,6828.489,6912.159,2024-09-01 23:53:48.489,2024-09-01 23:55:12.159
LEC,43.0,0 days 00:01:23.867000,False,6912.159,6996.026,2024-09-01 23:55:12.159,2024-09-01 23:56:36.026
