LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-09-22 21:57:01.006,2024-09-22 21:58:49.314,20
2.0,2024-09-22 21:58:49.314,2024-09-22 22:00:29.301,20
3.0,2024-09-22 22:00:29.301,2024-09-22 22:02:08.917,20
4.0,2024-09-22 22:02:08.917,2024-09-22 22:03:48.221,20
5.0,2024-09-22 22:03:48.221,2024-09-22 22:05:27.233,20
6.0,2024-09-22 22:05:27.233,2024-09-22 22:07:06.425,20
7.0,2024-09-22 22:07:06.425,2024-09-22 22:08:45.418,20
8.0,2024-09-22 22:08:45.418,2024-09-22 22:10:24.257,20
9.0,2024-09-22 22:10:24.257,2024-09-22 22:12:03.273,20
10.0,2024-09-22 22:12:03.273,2024-09-22 22:13:42.563,20
11.0,2024-09-22 22:13:42.563,2024-09-22 22:15:22.813,20
12.0,2024-09-22 22:15:22.813,2024-09-22 22:17:02.648,20
13.0,2024-09-22 22:17:02.648,2024-09-22 22:18:41.841,20
14.0,2024-09-22 22:18:41.841,2024-09-22 22:20:21.563,20
15.0,2024-09-22 22:20:21.563,2024-09-22 22:22:01.997,20
16.0,2024-09-22 22:21:58.841,2024-09-22 22:23:37.621,19
17.0,2024-09-22 22:23:37.621,2024-09-22 22:25:17.091,19
18.0,2024-09-22 22:25:17.091,2024-09-22 22:26:57.157,19
19.0,2024-09-22 22:26:57.157,2024-09-22 22:28:36.323,19
20.0,2024-09-22 22:28:36.323,2024-09-22 22:30:15.487,19
21.0,2024-09-22 22:30:15.487,2024-09-22 22:31:54.797,19
22.0,2024-09-22 22:31:54.797,2024-09-22 22:33:33.980,19
23.0,2024-09-22 22:33:33.980,2024-09-22 22:35:13.249,19
24.0,2024-09-22 22:35:13.249,2024-09-22 22:36:52.537,19
25.0,2024-09-22 22:36:52.537,2024-09-22 22:38:32.746,19
26.0,2024-09-22 22:38:32.746,2024-09-22 22:40:13.942,19
27.0,2024-09-22 22:40:13.942,2024-09-22 22:41:55.242,19
28.0,2024-09-22 22:41:55.242,2024-09-22 22:43:36.703,19
29.0,2024-09-22 22:43:36.703,2024-09-22 22:45:20.137,19
30.0,2024-09-22 22:45:20.137,2024-09-22 22:47:04.372,19
31.0,2024-09-22 22:47:04.372,2024-09-22 22:48:44.680,19
32.0,2024-09-22 22:48:44.680,2024-09-22 22:50:23.369,19
33.0,2024-09-22 22:50:23.369,2024-09-22 22:52:02.727,19
34.0,2024-09-22 22:52:02.727,2024-09-22 22:53:43.899,19
35.0,2024-09-22 22:53:43.899,2024-09-22 22:55:23.412,19
36.0,2024-09-22 22:55:23.412,2024-09-22 22:57:02.356,19
37.0,2024-09-22 22:57:02.356,2024-09-22 22:58:42.561,19
38.0,2024-09-22 22:58:42.561,2024-09-22 23:00:22.333,19
39.0,2024-09-22 23:00:22.333,2024-09-22 23:02:01.206,19
40.0,2024-09-22 23:02:01.206,2024-09-22 23:03:39.345,19
41.0,2024-09-22 23:03:39.345,2024-09-22 23:05:17.517,19
42.0,2024-09-22 23:05:17.517,2024-09-22 23:06:55.481,19
43.0,2024-09-22 23:06:55.481,2024-09-22 23:08:33.107,19
44.0,2024-09-22 23:08:33.107,2024-09-22 23:10:10.830,19
45.0,2024-09-22 23:10:10.830,2024-09-22 23:11:49.079,19
46.0,2024-09-22 23:11:49.079,2024-09-22 23:13:27.305,19
47.0,2024-09-22 23:13:27.305,2024-09-22 23:15:05.996,19
48.0,2024-09-22 23:15:05.996,2024-09-22 23:16:43.459,19
49.0,2024-09-22 23:16:43.459,2024-09-22 23:18:24.953,19
50.0,2024-09-22 23:18:24.953,2024-09-22 23:20:05.129,19
51.0,2024-09-22 23:20:05.129,2024-09-22 23:21:42.800,19
52.0,2024-09-22 23:21:42.800,2024-09-22 23:23:20.475,19
53.0,2024-09-22 23:23:20.475,2024-09-22 23:24:58.465,19
54.0,2024-09-22 23:24:58.465,2024-09-22 23:26:36.343,19
55.0,2024-09-22 23:26:36.343,2024-09-22 23:28:14.141,19
56.0,2024-09-22 23:28:14.141,2024-09-22 23:29:52.272,19
57.0,2024-09-22 23:29:52.272,2024-09-22 23:31:30.622,19
58.0,2024-09-22 23:31:22.697,2024-09-22 23:33:00.860,18
59.0,2024-09-22 23:33:00.860,2024-09-22 23:34:40.203,18
60.0,2024-09-22 23:34:40.203,2024-09-22 23:36:18.344,18
61.0,2024-09-22 23:36:18.344,2024-09-22 23:37:57.080,18
62.0,2024-09-22 23:37:08.030,2024-09-22 23:38:46.325,7
