Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
NOR,1.0,0 days 00:01:40.424000,False,3421.006,3521.675,2024-09-22 21:57:01.006,2024-09-22 21:58:41.675
NOR,2.0,0 days 00:01:38.480000,True,3521.675,3620.155,2024-09-22 21:58:41.675,2024-09-22 22:00:20.155
NOR,3.0,0 days 00:01:38.406000,True,3620.155,3718.561,2024-09-22 22:00:20.155,2024-09-22 22:01:58.561
NOR,4.0,0 days 00:01:38.446000,False,3718.561,3817.007,2024-09-22 22:01:58.561,2024-09-22 22:03:37.007
NOR,5.0,0 days 00:01:37.938000,True,3817.007,3914.945,2024-09-22 22:03:37.007,2024-09-22 22:05:14.945
NOR,6.0,0 days 00:01:37.843000,True,3914.945,4012.788,2024-09-22 22:05:14.945,2024-09-22 22:06:52.788
NOR,7.0,0 days 00:01:37.621000,True,4012.788,4110.409,2024-09-22 22:06:52.788,2024-09-22 22:08:30.408
NOR,8.0,0 days 00:01:37.082000,True,4110.409,4207.491,2024-09-22 22:08:30.408,2024-09-22 22:10:07.491
NOR,9.0,0 days 00:01:36.715000,True,4207.491,4304.206,2024-09-22 22:10:07.491,2024-09-22 22:11:44.206
NOR,10.0,0 days 00:01:36.830000,False,4304.206,4401.036,2024-09-22 22:11:44.206,2024-09-22 22:13:21.036
NOR,11.0,0 days 00:01:36.651000,True,4401.036,4497.687,2024-09-22 22:13:21.036,2024-09-22 22:14:57.687
NOR,12.0,0 days 00:01:36.495000,True,4497.687,4594.182,2024-09-22 22:14:57.687,2024-09-22 22:16:34.182
NOR,13.0,0 days 00:01:36.670000,False,4594.182,4690.852,2024-09-22 22:16:34.182,2024-09-22 22:18:10.852
NOR,14.0,0 days 00:01:36.832000,False,4690.852,4787.684,2024-09-22 22:18:10.852,2024-09-22 22:19:47.684
NOR,15.0,0 days 00:01:36.758000,False,4787.684,4884.442,2024-09-22 22:19:47.684,2024-09-22 22:21:24.442
NOR,16.0,0 days 00:01:36.624000,False,4884.442,4981.066,2024-09-22 22:21:24.442,2024-09-22 22:23:01.066
NOR,17.0,0 days 00:01:37.008000,False,4981.066,5078.074,2024-09-22 22:23:01.066,2024-09-22 22:24:38.074
NOR,18.0,0 days 00:01:37.068000,False,5078.074,5175.142,2024-09-22 22:24:38.074,2024-09-22 22:26:15.142
NOR,19.0,0 days 00:01:37.282000,False,5175.142,5272.424,2024-09-22 22:26:15.142,2024-09-22 22:27:52.424
NOR,20.0,0 days 00:01:36.887000,False,5272.424,5369.311,2024-09-22 22:27:52.424,2024-09-22 22:29:29.311
NOR,21.0,0 days 00:01:37.198000,False,5369.311,5466.509,2024-09-22 22:29:29.311,2024-09-22 22:31:06.509
NOR,22.0,0 days 00:01:37.115000,False,5466.509,5563.624,2024-09-22 22:31:06.509,2024-09-22 22:32:43.624
NOR,23.0,0 days 00:01:37.212000,False,5563.624,5660.836,2024-09-22 22:32:43.624,2024-09-22 22:34:20.836
NOR,24.0,0 days 00:01:37.527000,False,5660.836,5758.363,2024-09-22 22:34:20.836,2024-09-22 22:35:58.363
NOR,25.0,0 days 00:01:37.404000,False,5758.363,5855.767,2024-09-22 22:35:58.363,2024-09-22 22:37:35.767
NOR,26.0,0 days 00:01:37.260000,False,5855.767,5953.027,2024-09-22 22:37:35.767,2024-09-22 22:39:13.027
NOR,27.0,0 days 00:01:37.603000,False,5953.027,6050.63,2024-09-22 22:39:13.027,2024-09-22 22:40:50.630
NOR,28.0,0 days 00:01:37.528000,False,6050.63,6148.158,2024-09-22 22:40:50.630,2024-09-22 22:42:28.158
NOR,29.0,0 days 00:01:41.878000,False,6148.158,6250.036,2024-09-22 22:42:28.158,2024-09-22 22:44:10.036
NOR,30.0,0 days 00:01:47.073000,False,6250.036,6357.109,2024-09-22 22:44:10.036,2024-09-22 22:45:57.109
NOR,31.0,0 days 00:01:58.408000,False,6357.109,6475.517,2024-09-22 22:45:57.109,2024-09-22 22:47:55.517
NOR,32.0,0 days 00:01:37.034000,False,6475.517,6572.551,2024-09-22 22:47:55.517,2024-09-22 22:49:32.551
NOR,33.0,0 days 00:01:36.684000,False,6572.551,6669.235,2024-09-22 22:49:32.551,2024-09-22 22:51:09.235
NOR,34.0,0 days 00:01:36.714000,False,6669.235,6765.949,2024-09-22 22:51:09.235,2024-09-22 22:52:45.949
NOR,35.0,0 days 00:01:36.524000,False,6765.949,6862.473,2024-09-22 22:52:45.949,2024-09-22 22:54:22.473
NOR,36.0,0 days 00:01:36.216000,True,6862.473,6958.689,2024-09-22 22:54:22.473,2024-09-22 22:55:58.689
NOR,37.0,0 days 00:01:36.435000,False,6958.689,7055.124,2024-09-22 22:55:58.689,2024-09-22 22:57:35.124
NOR,38.0,0 days 00:01:36.710000,False,7055.124,7151.834,2024-09-22 22:57:35.124,2024-09-22 22:59:11.834
NOR,39.0,0 days 00:01:37.325000,False,7151.834,7249.159,2024-09-22 22:59:11.834,2024-09-22 23:00:49.159
NOR,40.0,0 days 00:01:37.194000,False,7249.159,7346.353,2024-09-22 23:00:49.159,2024-09-22 23:02:26.353
NOR,41.0,0 days 00:01:36.570000,False,7346.353,7442.923,2024-09-22 23:02:26.353,2024-09-22 23:04:02.923
NOR,42.0,0 days 00:01:36.404000,False,7442.923,7539.327,2024-09-22 23:04:02.923,2024-09-22 23:05:39.327
NOR,43.0,0 days 00:01:36.610000,False,7539.327,7635.937,2024-09-22 23:05:39.327,2024-09-22 23:07:15.937
NOR,44.0,0 days 00:01:36.275000,False,7635.937,7732.212,2024-09-22 23:07:15.937,2024-09-22 23:08:52.212
NOR,45.0,0 days 00:01:36.928000,False,7732.212,7829.14,2024-09-22 23:08:52.212,2024-09-22 23:10:29.140
NOR,46.0,0 days 00:01:35.953000,True,7829.14,7925.093,2024-09-22 23:10:29.140,2024-09-22 23:12:05.093
NOR,47.0,0 days 00:01:36.567000,False,7925.093,8021.66,2024-09-22 23:12:05.093,2024-09-22 23:13:41.660
NOR,48.0,0 days 00:01:34.925000,True,8021.66,8116.585,2024-09-22 23:13:41.660,2024-09-22 23:15:16.585
NOR,49.0,0 days 00:01:36.060000,False,8116.585,8212.645,2024-09-22 23:15:16.585,2024-09-22 23:16:52.645
NOR,50.0,0 days 00:01:36.311000,False,8212.645,8308.956,2024-09-22 23:16:52.645,2024-09-22 23:18:28.956
NOR,51.0,0 days 00:01:36.603000,False,8308.956,8405.559,2024-09-22 23:18:28.956,2024-09-22 23:20:05.558
NOR,52.0,0 days 00:01:36.192000,False,8405.559,8501.751,2024-09-22 23:20:05.558,2024-09-22 23:21:41.751
NOR,53.0,0 days 00:01:36.435000,False,8501.751,8598.186,2024-09-22 23:21:41.751,2024-09-22 23:23:18.186
NOR,54.0,0 days 00:01:36.749000,False,8598.186,8694.935,2024-09-22 23:23:18.186,2024-09-22 23:24:54.934
NOR,55.0,0 days 00:01:36.786000,False,8694.935,8791.721,2024-09-22 23:24:54.934,2024-09-22 23:26:31.721
NOR,56.0,0 days 00:01:37.197000,False,8791.721,8888.918,2024-09-22 23:26:31.721,2024-09-22 23:28:08.918
NOR,57.0,0 days 00:01:38.849000,False,8888.918,8987.767,2024-09-22 23:28:08.918,2024-09-22 23:29:47.767
NOR,58.0,0 days 00:01:37.734000,False,8987.767,9085.501,2024-09-22 23:29:47.767,2024-09-22 23:31:25.501
NOR,59.0,0 days 00:01:36.948000,False,9085.501,9182.449,2024-09-22 23:31:25.501,2024-09-22 23:33:02.449
NOR,60.0,0 days 00:01:36.631000,False,9182.449,9279.08,2024-09-22 23:33:02.449,2024-09-22 23:34:39.080
NOR,61.0,0 days 00:01:36.820000,False,9279.08,9375.9,2024-09-22 23:34:39.080,2024-09-22 23:36:15.900
NOR,62.0,0 days 00:01:37.922000,False,9375.9,9473.822,2024-09-22 23:36:15.900,2024-09-22 23:37:53.822
VER,1.0,0 days 00:01:41.413000,False,3421.006,3522.664,2024-09-22 21:57:01.006,2024-09-22 21:58:42.664
VER,2.0,0 days 00:01:38.790000,True,3522.664,3621.454,2024-09-22 21:58:42.664,2024-09-22 22:00:21.454
VER,3.0,0 days 00:01:38.917000,False,3621.454,3720.371,2024-09-22 22:00:21.454,2024-09-22 22:02:00.371
VER,4.0,0 days 00:01:38.470000,True,3720.371,3818.841,2024-09-22 22:02:00.371,2024-09-22 22:03:38.841
VER,5.0,0 days 00:01:37.906000,True,3818.841,3916.747,2024-09-22 22:03:38.841,2024-09-22 22:05:16.747
VER,6.0,0 days 00:01:37.997000,False,3916.747,4014.744,2024-09-22 22:05:16.747,2024-09-22 22:06:54.744
VER,7.0,0 days 00:01:37.774000,True,4014.744,4112.518,2024-09-22 22:06:54.744,2024-09-22 22:08:32.518
VER,8.0,0 days 00:01:37.669000,True,4112.518,4210.187,2024-09-22 22:08:32.518,2024-09-22 22:10:10.187
VER,9.0,0 days 00:01:37.890000,False,4210.187,4308.077,2024-09-22 22:10:10.187,2024-09-22 22:11:48.077
VER,10.0,0 days 00:01:37.739000,False,4308.077,4405.816,2024-09-22 22:11:48.077,2024-09-22 22:13:25.816
VER,11.0,0 days 00:01:37.593000,True,4405.816,4503.409,2024-09-22 22:13:25.816,2024-09-22 22:15:03.409
VER,12.0,0 days 00:01:37.778000,False,4503.409,4601.187,2024-09-22 22:15:03.409,2024-09-22 22:16:41.187
VER,13.0,0 days 00:01:37.701000,False,4601.187,4698.888,2024-09-22 22:16:41.187,2024-09-22 22:18:18.888
VER,14.0,0 days 00:01:37.707000,False,4698.888,4796.595,2024-09-22 22:18:18.888,2024-09-22 22:19:56.595
VER,15.0,0 days 00:01:37.826000,False,4796.595,4894.421,2024-09-22 22:19:56.595,2024-09-22 22:21:34.421
VER,16.0,0 days 00:01:37.851000,False,4894.421,4992.272,2024-09-22 22:21:34.421,2024-09-22 22:23:12.272
VER,17.0,0 days 00:01:37.987000,False,4992.272,5090.259,2024-09-22 22:23:12.272,2024-09-22 22:24:50.259
VER,18.0,0 days 00:01:38.068000,False,5090.259,5188.327,2024-09-22 22:24:50.259,2024-09-22 22:26:28.327
VER,19.0,0 days 00:01:38.017000,False,5188.327,5286.344,2024-09-22 22:26:28.327,2024-09-22 22:28:06.344
VER,20.0,0 days 00:01:38.123000,False,5286.344,5384.467,2024-09-22 22:28:06.344,2024-09-22 22:29:44.467
VER,21.0,0 days 00:01:38.172000,False,5384.467,5482.639,2024-09-22 22:29:44.467,2024-09-22 22:31:22.639
VER,22.0,0 days 00:01:38.192000,False,5482.639,5580.831,2024-09-22 22:31:22.639,2024-09-22 22:33:00.831
VER,23.0,0 days 00:01:38.231000,False,5580.831,5679.062,2024-09-22 22:33:00.831,2024-09-22 22:34:39.062
VER,24.0,0 days 00:01:38.399000,False,5679.062,5777.461,2024-09-22 22:34:39.062,2024-09-22 22:36:17.461
VER,25.0,0 days 00:01:38.641000,False,5777.461,5876.102,2024-09-22 22:36:17.461,2024-09-22 22:37:56.102
VER,26.0,0 days 00:01:38.575000,False,5876.102,5974.677,2024-09-22 22:37:56.102,2024-09-22 22:39:34.677
VER,27.0,0 days 00:01:38.927000,False,5974.677,6073.604,2024-09-22 22:39:34.677,2024-09-22 22:41:13.604
VER,28.0,0 days 00:01:39.265000,False,6073.604,6172.869,2024-09-22 22:41:13.604,2024-09-22 22:42:52.869
VER,29.0,0 days 00:01:47.873000,False,6172.869,6280.742,2024-09-22 22:42:52.869,2024-09-22 22:44:40.742
VER,30.0,0 days 00:01:58.989000,False,6280.742,6399.731,2024-09-22 22:44:40.742,2024-09-22 22:46:39.731
VER,31.0,0 days 00:01:36.688000,True,6399.731,6496.419,2024-09-22 22:46:39.731,2024-09-22 22:48:16.419
VER,32.0,0 days 00:01:36.824000,False,6496.419,6593.243,2024-09-22 22:48:16.419,2024-09-22 22:49:53.243
VER,33.0,0 days 00:01:37.022000,False,6593.243,6690.265,2024-09-22 22:49:53.243,2024-09-22 22:51:30.265
VER,34.0,0 days 00:01:36.871000,False,6690.265,6787.136,2024-09-22 22:51:30.265,2024-09-22 22:53:07.136
VER,35.0,0 days 00:01:37.100000,False,6787.136,6884.236,2024-09-22 22:53:07.136,2024-09-22 22:54:44.236
VER,36.0,0 days 00:01:36.968000,False,6884.236,6981.204,2024-09-22 22:54:44.236,2024-09-22 22:56:21.204
VER,37.0,0 days 00:01:36.984000,False,6981.204,7078.188,2024-09-22 22:56:21.204,2024-09-22 22:57:58.188
VER,38.0,0 days 00:01:37.071000,False,7078.188,7175.259,2024-09-22 22:57:58.188,2024-09-22 22:59:35.259
VER,39.0,0 days 00:01:36.957000,False,7175.259,7272.216,2024-09-22 22:59:35.259,2024-09-22 23:01:12.216
VER,40.0,0 days 00:01:36.962000,False,7272.216,7369.178,2024-09-22 23:01:12.216,2024-09-22 23:02:49.178
VER,41.0,0 days 00:01:37.380000,False,7369.178,7466.558,2024-09-22 23:02:49.178,2024-09-22 23:04:26.558
VER,42.0,0 days 00:01:36.865000,False,7466.558,7563.423,2024-09-22 23:04:26.558,2024-09-22 23:06:03.423
VER,43.0,0 days 00:01:36.582000,True,7563.423,7660.005,2024-09-22 23:06:03.423,2024-09-22 23:07:40.005
VER,44.0,0 days 00:01:36.414000,True,7660.005,7756.419,2024-09-22 23:07:40.005,2024-09-22 23:09:16.419
VER,45.0,0 days 00:01:36.618000,False,7756.419,7853.037,2024-09-22 23:09:16.419,2024-09-22 23:10:53.037
