Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
VER,1.0,0 days 00:01:23.186000,False,3417.095,3500.507,2024-06-23 22:56:57.095,2024-06-23 22:58:20.507
VER,2.0,0 days 00:01:19.871000,True,3500.507,3580.378,2024-06-23 22:58:20.507,2024-06-23 22:59:40.378
VER,3.0,0 days 00:01:19.364000,True,3580.378,3659.742,2024-06-23 22:59:40.378,2024-06-23 23:00:59.742
VER,4.0,0 days 00:01:20.766000,False,3659.742,3740.508,2024-06-23 23:00:59.742,2024-06-23 23:02:20.508
VER,5.0,0 days 00:01:20.827000,False,3740.508,3821.335,2024-06-23 23:02:20.508,2024-06-23 23:03:41.335
VER,6.0,0 days 00:01:20.876000,False,3821.335,3902.211,2024-06-23 23:03:41.335,2024-06-23 23:05:02.211
VER,7.0,0 days 00:01:20.973000,False,3902.211,3983.184,2024-06-23 23:05:02.211,2024-06-23 23:06:23.184
VER,8.0,0 days 00:01:20.989000,False,3983.184,4064.173,2024-06-23 23:06:23.184,2024-06-23 23:07:44.173
VER,9.0,0 days 00:01:21.042000,False,4064.173,4145.215,2024-06-23 23:07:44.173,2024-06-23 23:09:05.215
VER,10.0,0 days 00:01:21.003000,False,4145.215,4226.218,2024-06-23 23:09:05.215,2024-06-23 23:10:26.218
VER,11.0,0 days 00:01:20.954000,False,4226.218,4307.172,2024-06-23 23:10:26.218,2024-06-23 23:11:47.171
VER,12.0,0 days 00:01:21.376000,False,4307.172,4388.548,2024-06-23 23:11:47.171,2024-06-23 23:13:08.548
VER,13.0,0 days 00:01:20.807000,False,4388.548,4469.355,2024-06-23 23:13:08.548,2024-06-23 23:14:29.355
VER,14.0,0 days 00:01:20.989000,False,4469.355,4550.344,2024-06-23 23:14:29.355,2024-06-23 23:15:50.344
VER,15.0,0 days 00:01:21.097000,False,4550.344,4631.441,2024-06-23 23:15:50.344,2024-06-23 23:17:11.441
VER,16.0,0 days 00:01:21.223000,False,4631.441,4712.664,2024-06-23 23:17:11.441,2024-06-23 23:18:32.664
VER,17.0,0 days 00:01:24.876000,False,4712.664,4797.54,2024-06-23 23:18:32.664,2024-06-23 23:19:57.540
VER,18.0,0 days 00:01:37.657000,False,4797.54,4895.197,2024-06-23 23:19:57.540,2024-06-23 23:21:35.197
VER,19.0,0 days 00:01:19.725000,False,4895.197,4974.922,2024-06-23 23:21:35.197,2024-06-23 23:22:54.922
