LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-07-07 23:58:15.512,2024-07-07 23:59:56.070,20
2.0,2024-07-07 23:59:56.339,2024-07-08 00:01:29.316,19
3.0,2024-07-08 00:01:29.316,2024-07-08 00:03:02.035,19
4.0,2024-07-08 00:03:02.035,2024-07-08 00:04:34.783,19
5.0,2024-07-08 00:04:34.783,2024-07-08 00:06:07.339,19
6.0,2024-07-08 00:06:07.339,2024-07-08 00:07:40.008,19
7.0,2024-07-08 00:07:40.008,2024-07-08 00:09:12.897,19
8.0,2024-07-08 00:09:12.897,2024-07-08 00:10:45.756,19
9.0,2024-07-08 00:10:45.756,2024-07-08 00:12:18.433,19
10.0,2024-07-08 00:12:18.433,2024-07-08 00:13:51.176,19
11.0,2024-07-08 00:13:51.176,2024-07-08 00:15:23.769,19
12.0,2024-07-08 00:15:23.769,2024-07-08 00:16:56.283,19
13.0,2024-07-08 00:16:56.283,2024-07-08 00:18:30.044,19
14.0,2024-07-08 00:18:30.044,2024-07-08 00:20:02.504,19
15.0,2024-07-08 00:20:02.504,2024-07-08 00:21:34.972,19
16.0,2024-07-08 00:21:34.972,2024-07-08 00:23:08.238,19
17.0,2024-07-08 00:23:08.238,2024-07-08 00:24:43.524,19
18.0,2024-07-08 00:24:43.524,2024-07-08 00:26:19.342,19
19.0,2024-07-08 00:26:19.342,2024-07-08 00:28:03.317,19
20.0,2024-07-08 00:28:03.317,2024-07-08 00:29:45.799,19
21.0,2024-07-08 00:29:45.799,2024-07-08 00:31:20.944,19
22.0,2024-07-08 00:31:20.944,2024-07-08 00:32:56.685,19
23.0,2024-07-08 00:32:56.685,2024-07-08 00:34:31.838,19
24.0,2024-07-08 00:34:31.838,2024-07-08 00:36:08.327,19
25.0,2024-07-08 00:36:08.327,2024-07-08 00:37:46.733,19
26.0,2024-07-08 00:37:46.733,2024-07-08 00:39:30.933,19
27.0,2024-07-08 00:39:30.933,2024-07-08 00:41:25.376,19
28.0,2024-07-08 00:41:25.376,2024-07-08 00:43:18.664,19
29.0,2024-07-08 00:43:18.664,2024-07-08 00:45:03.006,19
30.0,2024-07-08 00:45:03.006,2024-07-08 00:46:45.250,19
31.0,2024-07-08 00:46:45.250,2024-07-08 00:48:28.402,19
32.0,2024-07-08 00:48:28.402,2024-07-08 00:50:12.336,19
33.0,2024-07-08 00:50:12.336,2024-07-08 00:51:56.666,19
34.0,2024-07-08 00:51:59.402,2024-07-08 00:53:44.043,18
35.0,2024-07-08 00:53:44.043,2024-07-08 00:55:28.030,18
36.0,2024-07-08 00:55:28.030,2024-07-08 00:57:10.529,18
37.0,2024-07-08 00:57:10.529,2024-07-08 00:58:51.009,18
38.0,2024-07-08 00:58:51.009,2024-07-08 01:00:37.505,18
39.0,2024-07-08 01:00:37.505,2024-07-08 01:02:22.572,18
40.0,2024-07-08 01:02:22.572,2024-07-08 01:03:59.620,18
41.0,2024-07-08 01:03:59.620,2024-07-08 01:05:30.283,18
42.0,2024-07-08 01:05:30.283,2024-07-08 01:07:00.628,18
43.0,2024-07-08 01:07:00.628,2024-07-08 01:08:30.818,18
44.0,2024-07-08 01:08:30.818,2024-07-08 01:10:01.163,18
45.0,2024-07-08 01:10:01.163,2024-07-08 01:11:31.610,18
46.0,2024-07-08 01:11:31.610,2024-07-08 01:13:01.967,18
47.0,2024-07-08 01:13:01.967,2024-07-08 01:14:32.435,18
48.0,2024-07-08 01:14:32.435,2024-07-08 01:16:05.115,18
49.0,2024-07-08 01:16:05.115,2024-07-08 01:17:36.170,18
50.0,2024-07-08 01:17:36.170,2024-07-08 01:19:06.936,18
51.0,2024-07-08 01:18:42.218,2024-07-08 01:20:14.608,15
52.0,2024-07-08 01:19:59.873,2024-07-08 01:21:30.421,12
