Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
VER,1.0,0 days 00:01:27.458000,False,3509.232,3596.944,2024-03-24 13:58:29.232,2024-03-24 13:59:56.944
VER,2.0,0 days 00:01:24.099000,True,3596.944,3681.043,2024-03-24 13:59:56.944,2024-03-24 14:01:21.043
VER,3.0,0 days 00:01:23.115000,True,3681.043,3764.158,2024-03-24 14:01:21.043,2024-03-24 14:02:44.158
VER,4.0,,False,3764.158,3864.523,2024-03-24 14:02:44.158,2024-03-24 14:04:24.523
GAS,1.0,0 days 00:01:37.304000,False,3509.232,3606.79,2024-03-24 13:58:29.232,2024-03-24 14:00:06.790
GAS,2.0,0 days 00:01:24.649000,True,3606.79,3691.439,2024-03-24 14:00:06.790,2024-03-24 14:01:31.439
GAS,3.0,0 days 00:01:23.851000,True,3691.439,3775.29,2024-03-24 14:01:31.439,2024-03-24 14:02:55.290
GAS,4.0,0 days 00:01:23.700000,True,3775.29,3858.99,2024-03-24 14:02:55.290,2024-03-24 14:04:18.990
GAS,5.0,0 days 00:01:24.526000,False,3858.99,3943.516,2024-03-24 14:04:18.990,2024-03-24 14:05:43.516
GAS,6.0,0 days 00:01:23.912000,False,3943.516,4027.428,2024-03-24 14:05:43.516,2024-03-24 14:07:07.428
GAS,7.0,0 days 00:01:23.445000,True,4027.428,4110.873,2024-03-24 14:07:07.428,2024-03-24 14:08:30.872
GAS,8.0,0 days 00:01:23.879000,False,4110.873,4194.752,2024-03-24 14:08:30.872,2024-03-24 14:09:54.752
GAS,9.0,0 days 00:01:23.829000,False,4194.752,4278.581,2024-03-24 14:09:54.752,2024-03-24 14:11:18.581
GAS,10.0,0 days 00:01:23.856000,False,4278.581,4362.437,2024-03-24 14:11:18.581,2024-03-24 14:12:42.437
GAS,11.0,0 days 00:01:25.397000,False,4362.437,4447.834,2024-03-24 14:12:42.437,2024-03-24 14:14:07.834
GAS,12.0,0 days 00:01:24.625000,False,4447.834,4532.459,2024-03-24 14:14:07.834,2024-03-24 14:15:32.459
GAS,13.0,0 days 00:01:24.049000,False,4532.459,4616.508,2024-03-24 14:15:32.459,2024-03-24 14:16:56.508
GAS,14.0,0 days 00:01:24.104000,False,4616.508,4700.612,2024-03-24 14:16:56.508,2024-03-24 14:18:20.612
GAS,15.0,0 days 00:01:24.100000,False,4700.612,4784.712,2024-03-24 14:18:20.612,2024-03-24 14:19:44.712
GAS,16.0,0 days 00:01:25.367000,False,4784.712,4870.079,2024-03-24 14:19:44.712,2024-03-24 14:21:10.079
GAS,17.0,0 days 00:01:57.788000,False,4870.079,4987.867,2024-03-24 14:21:10.079,2024-03-24 14:23:07.867
GAS,18.0,0 days 00:01:29.888000,False,4987.867,5077.755,2024-03-24 14:23:07.867,2024-03-24 14:24:37.755
GAS,19.0,0 days 00:01:23.922000,False,5077.755,5161.677,2024-03-24 14:24:37.755,2024-03-24 14:26:01.677
GAS,20.0,0 days 00:01:23.662000,False,5161.677,5245.339,2024-03-24 14:26:01.677,2024-03-24 14:27:25.339
GAS,21.0,0 days 00:01:23.241000,True,5245.339,5328.58,2024-03-24 14:27:25.339,2024-03-24 14:28:48.580
GAS,22.0,0 days 00:01:23.045000,True,5328.58,5411.625,2024-03-24 14:28:48.580,2024-03-24 14:30:11.625
GAS,23.0,0 days 00:01:22.929000,True,5411.625,5494.554,2024-03-24 14:30:11.625,2024-03-24 14:31:34.554
GAS,24.0,0 days 00:01:23.001000,False,5494.554,5577.555,2024-03-24 14:31:34.554,2024-03-24 14:32:57.555
GAS,25.0,0 days 00:01:22.933000,False,5577.555,5660.488,2024-03-24 14:32:57.555,2024-03-24 14:34:20.488
