Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
VER,1.0,0 days 00:01:37.284000,False,3599.911,3697.489,2024-03-03 00:59:59.911,2024-03-03 01:01:37.489
VER,2.0,0 days 00:01:36.296000,True,3697.489,3793.785,2024-03-03 01:01:37.489,2024-03-03 01:03:13.785
VER,3.0,0 days 00:01:36.753000,False,3793.785,3890.538,2024-03-03 01:03:13.785,2024-03-03 01:04:50.538
VER,4.0,0 days 00:01:36.647000,False,3890.538,3987.185,2024-03-03 01:04:50.538,2024-03-03 01:06:27.185
VER,5.0,0 days 00:01:37.173000,False,3987.185,4084.358,2024-03-03 01:06:27.185,2024-03-03 01:08:04.358
VER,6.0,0 days 00:01:37.092000,False,4084.358,4181.45,2024-03-03 01:08:04.358,2024-03-03 01:09:41.450
VER,7.0,0 days 00:01:37.038000,False,4181.45,4278.488,2024-03-03 01:09:41.450,2024-03-03 01:11:18.488
VER,8.0,0 days 00:01:37.024000,False,4278.488,4375.512,2024-03-03 01:11:18.488,2024-03-03 01:12:55.511
VER,9.0,0 days 00:01:37.229000,False,4375.512,4472.741,2024-03-03 01:12:55.511,2024-03-03 01:14:32.741
VER,10.0,0 days 00:01:36.960000,False,4472.741,4569.701,2024-03-03 01:14:32.741,2024-03-03 01:16:09.701
VER,11.0,0 days 00:01:37.085000,False,4569.701,4666.786,2024-03-03 01:16:09.701,2024-03-03 01:17:46.786
VER,12.0,0 days 00:01:37.045000,False,4666.786,4763.831,2024-03-03 01:17:46.786,2024-03-03 01:19:23.831
VER,13.0,0 days 00:01:37.030000,False,4763.831,4860.861,2024-03-03 01:19:23.831,2024-03-03 01:21:00.861
VER,14.0,0 days 00:01:37.028000,False,4860.861,4957.889,2024-03-03 01:21:00.861,2024-03-03 01:22:37.889
VER,15.0,0 days 00:01:37.011000,False,4957.889,5054.9,2024-03-03 01:22:37.889,2024-03-03 01:24:14.900
VER,16.0,0 days 00:01:37.168000,False,5054.9,5152.068,2024-03-03 01:24:14.900,2024-03-03 01:25:52.068
VER,17.0,0 days 00:01:39.896000,False,5152.068,5251.964,2024-03-03 01:25:52.068,2024-03-03 01:27:31.964
VER,18.0,0 days 00:01:57.854000,False,5251.964,5369.818,2024-03-03 01:27:31.964,2024-03-03 01:29:29.818
VER,19.0,0 days 00:01:35.283000,True,5369.818,5465.101,2024-03-03 01:29:29.818,2024-03-03 01:31:05.101
VER,20.0,0 days 00:01:35.160000,True,5465.101,5560.261,2024-03-03 01:31:05.101,2024-03-03 01:32:40.261
VER,21.0,0 days 00:01:35.316000,False,5560.261,5655.577,2024-03-03 01:32:40.261,2024-03-03 01:34:15.577
VER,22.0,0 days 00:01:35.204000,False,5655.577,5750.781,2024-03-03 01:34:15.577,2024-03-03 01:35:50.781
VER,23.0,0 days 00:01:35.216000,False,5750.781,5845.997,2024-03-03 01:35:50.781,2024-03-03 01:37:25.997
VER,24.0,0 days 00:01:35.289000,False,5845.997,5941.286,2024-03-03 01:37:25.997,2024-03-03 01:39:01.286
VER,25.0,0 days 00:01:35.342000,False,5941.286,6036.628,2024-03-03 01:39:01.286,2024-03-03 01:40:36.628
VER,26.0,0 days 00:01:35.223000,False,6036.628,6131.851,2024-03-03 01:40:36.628,2024-03-03 01:42:11.851
VER,27.0,0 days 00:01:35.581000,False,6131.851,6227.432,2024-03-03 01:42:11.851,2024-03-03 01:43:47.432
VER,28.0,0 days 00:01:35.477000,False,6227.432,6322.909,2024-03-03 01:43:47.432,2024-03-03 01:45:22.909
VER,29.0,0 days 00:01:35.793000,False,6322.909,6418.702,2024-03-03 01:45:22.909,2024-03-03 01:46:58.702
VER,30.0,0 days 00:01:35.771000,False,6418.702,6514.473,2024-03-03 01:46:58.702,2024-03-03 01:48:34.473
VER,31.0,0 days 00:01:35.679000,False,6514.473,6610.152,2024-03-03 01:48:34.473,2024-03-03 01:50:10.152
VER,32.0,0 days 00:01:35.886000,False,6610.152,6706.038,2024-03-03 01:50:10.152,2024-03-03 01:51:46.038
VER,33.0,0 days 00:01:35.863000,False,6706.038,6801.901,2024-03-03 01:51:46.038,2024-03-03 01:53:21.901
VER,34.0,0 days 00:01:36.133000,False,6801.901,6898.034,2024-03-03 01:53:21.901,2024-03-03 01:54:58.034
VER,35.0,0 days 00:01:36.018000,False,6898.034,6994.052,2024-03-03 01:54:58.034,2024-03-03 01:56:34.052
VER,36.0,0 days 00:01:36.205000,False,6994.052,7090.257,2024-03-03 01:56:34.052,2024-03-03 01:58:10.257
VER,37.0,0 days 00:01:39.234000,False,7090.257,7189.491,2024-03-03 01:58:10.257,2024-03-03 01:59:49.491
VER,38.0,0 days 00:01:56.445000,False,7189.491,7305.936,2024-03-03 01:59:49.491,2024-03-03 02:01:45.936
VER,39.0,0 days 00:01:32.608000,True,7305.936,7398.544,2024-03-03 02:01:45.936,2024-03-03 02:03:18.544
VER,40.0,0 days 00:01:36.589000,False,7398.544,7495.133,2024-03-03 02:03:18.544,2024-03-03 02:04:55.133
VER,41.0,0 days 00:01:35.290000,False,7495.133,7590.423,2024-03-03 02:04:55.133,2024-03-03 02:06:30.423
VER,42.0,0 days 00:01:34.667000,False,7590.423,7685.09,2024-03-03 02:06:30.423,2024-03-03 02:08:05.090
VER,43.0,0 days 00:01:34.151000,False,7685.09,7779.241,2024-03-03 02:08:05.090,2024-03-03 02:09:39.241
VER,44.0,0 days 00:01:34.531000,False,7779.241,7873.772,2024-03-03 02:09:39.241,2024-03-03 02:11:13.772
VER,45.0,0 days 00:01:34.249000,False,7873.772,7968.021,2024-03-03 02:11:13.772,2024-03-03 02:12:48.021
VER,46.0,0 days 00:01:34.193000,False,7968.021,8062.214,2024-03-03 02:12:48.021,2024-03-03 02:14:22.214
VER,47.0,0 days 00:01:34.239000,False,8062.214,8156.453,2024-03-03 02:14:22.214,2024-03-03 02:15:56.453
VER,48.0,0 days 00:01:34.350000,False,8156.453,8250.803,2024-03-03 02:15:56.453,2024-03-03 02:17:30.803
VER,49.0,0 days 00:01:34.403000,False,8250.803,8345.206,2024-03-03 02:17:30.803,2024-03-03 02:19:05.206
VER,50.0,0 days 00:01:34.783000,False,8345.206,8439.989,2024-03-03 02:19:05.206,2024-03-03 02:20:39.989
VER,51.0,0 days 00:01:34.340000,False,8439.989,8534.329,2024-03-03 02:20:39.989,2024-03-03 02:22:14.329
VER,52.0,0 days 00:01:34.906000,False,8534.329,8629.235,2024-03-03 02:22:14.329,2024-03-03 02:23:49.235
VER,53.0,0 days 00:01:35.600000,False,8629.235,8724.835,2024-03-03 02:23:49.235,2024-03-03 02:25:24.834
VER,54.0,0 days 00:01:35.334000,False,8724.835,8820.169,2024-03-03 02:25:24.834,2024-03-03 02:27:00.169
VER,55.0,0 days 00:01:35.184000,False,8820.169,8915.353,2024-03-03 02:27:00.169,2024-03-03 02:28:35.353
VER,56.0,0 days 00:01:34.671000,False,8915.353,9010.024,2024-03-03 02:28:35.353,2024-03-03 02:30:10.024
VER,57.0,0 days 00:01:34.923000,False,9010.024,9104.947,2024-03-03 02:30:10.024,2024-03-03 02:31:44.947
PER,1.0,0 days 00:01:40.053000,False,3599.911,3700.258,2024-03-03 00:59:59.911,2024-03-03 01:01:40.258
PER,2.0,0 days 00:01:36.541000,True,3700.258,3796.799,2024-03-03 01:01:40.258,2024-03-03 01:03:16.799
PER,3.0,0 days 00:01:37.297000,False,3796.799,3894.096,2024-03-03 01:03:16.799,2024-03-03 01:04:54.096
PER,4.0,0 days 00:01:37.722000,False,3894.096,3991.818,2024-03-03 01:04:54.096,2024-03-03 01:06:31.818
PER,5.0,0 days 00:01:38.044000,False,3991.818,4089.862,2024-03-03 01:06:31.818,2024-03-03 01:08:09.862
PER,6.0,0 days 00:01:37.823000,False,4089.862,4187.685,2024-03-03 01:08:09.862,2024-03-03 01:09:47.685
PER,7.0,0 days 00:01:37.821000,False,4187.685,4285.506,2024-03-03 01:09:47.685,2024-03-03 01:11:25.506
PER,8.0,0 days 00:01:37.838000,False,4285.506,4383.344,2024-03-03 01:11:25.506,2024-03-03 01:13:03.344
PER,9.0,0 days 00:01:37.596000,False,4383.344,4480.94,2024-03-03 01:13:03.344,2024-03-03 01:14:40.940
PER,10.0,0 days 00:01:37.630000,False,4480.94,4578.57,2024-03-03 01:14:40.940,2024-03-03 01:16:18.570
PER,11.0,0 days 00:01:37.836000,False,4578.57,4676.406,2024-03-03 01:16:18.570,2024-03-03 01:17:56.406
PER,12.0,0 days 00:01:40.277000,False,4676.406,4776.683,2024-03-03 01:17:56.406,2024-03-03 01:19:36.683
PER,13.0,0 days 00:01:57.624000,False,4776.683,4894.307,2024-03-03 01:19:36.683,2024-03-03 01:21:34.307
PER,14.0,0 days 00:01:35.606000,True,4894.307,4989.913,2024-03-03 01:21:34.307,2024-03-03 01:23:09.913
PER,15.0,0 days 00:01:36.815000,False,4989.913,5086.728,2024-03-03 01:23:09.913,2024-03-03 01:24:46.728
PER,16.0,0 days 00:01:35.783000,False,5086.728,5182.511,2024-03-03 01:24:46.728,2024-03-03 01:26:22.511
PER,17.0,0 days 00:01:36.454000,False,5182.511,5278.965,2024-03-03 01:26:22.511,2024-03-03 01:27:58.965
PER,18.0,0 days 00:01:36.311000,False,5278.965,5375.276,2024-03-03 01:27:58.965,2024-03-03 01:29:35.276
PER,19.0,0 days 00:01:36.038000,False,5375.276,5471.314,2024-03-03 01:29:35.276,2024-03-03 01:31:11.314
PER,20.0,0 days 00:01:36.278000,False,5471.314,5567.592,2024-03-03 01:31:11.314,2024-03-03 01:32:47.592
PER,21.0,0 days 00:01:36.165000,False,5567.592,5663.757,2024-03-03 01:32:47.592,2024-03-03 01:34:23.757
PER,22.0,0 days 00:01:36.037000,False,5663.757,5759.794,2024-03-03 01:34:23.757,2024-03-03 01:35:59.794
PER,23.0,0 days 00:01:36.249000,False,5759.794,5856.043,2024-03-03 01:35:59.794,2024-03-03 01:37:36.043
PER,24.0,0 days 00:01:36.211000,False,5856.043,5952.254,2024-03-03 01:37:36.043,2024-03-03 01:39:12.254
PER,25.0,0 days 00:01:36.344000,False,5952.254,6048.598,2024-03-03 01:39:12.254,2024-03-03 01:40:48.598
PER,26.0,0 days 00:01:36.347000,False,6048.598,6144.945,2024-03-03 01:40:48.598,2024-03-03 01:42:24.945
PER,27.0,0 days 00:01:36.233000,False,6144.945,6241.178,2024-03-03 01:42:24.945,2024-03-03 01:44:01.178
PER,28.0,0 days 00:01:36.226000,False,6241.178,6337.404,2024-03-03 01:44:01.178,2024-03-03 01:45:37.404
PER,29.0,0 days 00:01:36.437000,False,6337.404,6433.841,2024-03-03 01:45:37.404,2024-03-03 01:47:13.841
PER,30.0,0 days 00:01:36.313000,False,6433.841,6530.154,2024-03-03 01:47:13.841,2024-03-03 01:48:50.154
PER,31.0,0 days 00:01:36.339000,False,6530.154,6626.493,2024-03-03 01:48:50.154,2024-03-03 01:50:26.493
PER,32.0,0 days 00:01:36.276000,False,6626.493,6722.769,2024-03-03 01:50:26.493,2024-03-03 01:52:02.769
PER,33.0,0 days 00:01:36.564000,False,6722.769,6819.333,2024-03-03 01:52:02.769,2024-03-03 01:53:39.333
PER,34.0,0 days 00:01:36.378000,False,6819.333,6915.711,2024-03-03 01:53:39.333,2024-03-03 01:55:15.711
PER,35.0,0 days 00:01:36.776000,False,6915.711,7012.487,2024-03-03 01:55:15.711,2024-03-03 01:56:52.487
PER,36.0,0 days 00:01:39.365000,False,7012.487,7111.852,2024-03-03 01:56:52.487,2024-03-03 01:58:31.852
PER,37.0,0 days 00:01:55.808000,False,7111.852,7227.66,2024-03-03 01:58:31.852,2024-03-03 02:00:27.660
PER,38.0,0 days 00:01:34.804000,True,7227.66,7322.464,2024-03-03 02:00:27.660,2024-03-03 02:02:02.464
PER,39.0,0 days 00:01:34.607000,True,7322.464,7417.071,2024-03-03 02:02:02.464,2024-03-03 02:03:37.071
PER,40.0,0 days 00:01:34.364000,True,7417.071,7511.435,2024-03-03 02:03:37.071,2024-03-03 02:05:11.435
PER,41.0,0 days 00:01:34.400000,False,7511.435,7605.835,2024-03-03 02:05:11.435,2024-03-03 02:06:45.835
PER,42.0,0 days 00:01:34.525000,False,7605.835,7700.36,2024-03-03 02:06:45.835,2024-03-03 02:08:20.360
PER,43.0,0 days 00:01:34.797000,False,7700.36,7795.157,2024-03-03 02:08:20.360,2024-03-03 02:09:55.157
PER,44.0,0 days 00:01:34.799000,False,7795.157,7889.956,2024-03-03 02:09:55.157,2024-03-03 02:11:29.956
PER,45.0,0 days 00:01:34.592000,False,7889.956,7984.548,2024-03-03 02:11:29.956,2024-03-03 02:13:04.548
PER,46.0,0 days 00:01:34.844000,False,7984.548,8079.392,2024-03-03 02:13:04.548,2024-03-03 02:14:39.392
PER,47.0,0 days 00:01:34.730000,False,8079.392,8174.122,2024-03-03 02:14:39.392,2024-03-03 02:16:14.122
PER,48.0,0 days 00:01:34.885000,False,8174.122,8269.007,2024-03-03 02:16:14.122,2024-03-03 02:17:49.007
PER,49.0,0 days 00:01:34.966000,False,8269.007,8363.973,2024-03-03 02:17:49.007,2024-03-03 02:19:23.973
PER,50.0,0 days 00:01:35.082000,False,8363.973,8459.055,2024-03-03 02:19:23.973,2024-03-03 02:20:59.055
PER,51.0,0 days 00:01:34.940000,False,8459.055,8553.995,2024-03-03 02:20:59.055,2024-03-03 02:22:33.995
PER,52.0,0 days 00:01:35.183000,False,8553.995,8649.178,2024-03-03 02:22:33.995,2024-03-03 02:24:09.178
PER,53.0,0 days 00:01:35.842000,False,8649.178,8745.02,2024-03-03 02:24:09.178,2024-03-03 02:25:45.020
PER,54.0,0 days 00:01:35.459000,False,8745.02,8840.479,2024-03-03 02:25:45.020,2024-03-03 02:27:20.479
PER,55.0,0 days 00:01:35.611000,False,8840.479,8936.09,2024-03-03 02:27:20.479,2024-03-03 02:28:56.090
PER,56.0,0 days 00:01:35.568000,False,8936.09,9031.658,2024-03-03 02:28:56.090,2024-03-03 02:30:31.658
PER,57.0,0 days 00:01:35.746000,False,9031.658,9127.404,2024-03-03 02:30:31.658,2024-03-03 02:32:07.404
SAI,1.0,0 days 00:01:40.620000,False,3599.911,3700.825,2024-03-03 00:59:59.911,2024-03-03 01:01:40.825
SAI,2.0,0 days 00:01:37.236000,True,3700.825,3798.061,2024-03-03 01:01:40.825,2024-03-03 01:03:18.061
SAI,3.0,0 days 00:01:37.080000,True,3798.061,3895.141,2024-03-03 01:03:18.061,2024-03-03 01:04:55.141
SAI,4.0,0 days 00:01:37.264000,False,3895.141,3992.405,2024-03-03 01:04:55.141,2024-03-03 01:06:32.405
SAI,5.0,0 days 00:01:38.032000,False,3992.405,4090.437,2024-03-03 01:06:32.405,2024-03-03 01:08:10.437
SAI,6.0,0 days 00:01:37.741000,False,4090.437,4188.178,2024-03-03 01:08:10.437,2024-03-03 01:09:48.178
SAI,7.0,0 days 00:01:38.260000,False,4188.178,4286.438,2024-03-03 01:09:48.178,2024-03-03 01:11:26.438
SAI,8.0,0 days 00:01:38.183000,False,4286.438,4384.621,2024-03-03 01:11:26.438,2024-03-03 01:13:04.621
SAI,9.0,0 days 00:01:38.030000,False,4384.621,4482.651,2024-03-03 01:13:04.621,2024-03-03 01:14:42.651
SAI,10.0,0 days 00:01:37.608000,False,4482.651,4580.259,2024-03-03 01:14:42.651,2024-03-03 01:16:20.259
SAI,11.0,0 days 00:01:37.656000,False,4580.259,4677.915,2024-03-03 01:16:20.259,2024-03-03 01:17:57.915
SAI,12.0,0 days 00:01:37.650000,False,4677.915,4775.565,2024-03-03 01:17:57.915,2024-03-03 01:19:35.565
SAI,13.0,0 days 00:01:37.243000,False,4775.565,4872.808,2024-03-03 01:19:35.565,2024-03-03 01:21:12.808
