Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
VER,1.0,0 days 00:02:10.735000,False,3760.422,3891.506,2024-04-07 15:02:40.422,2024-04-07 15:04:51.506
VER,2.0,,False,5458.774,5602.63,2024-04-07 15:30:58.774,2024-04-07 15:33:22.630
VER,3.0,,False,5602.63,5775.449,2024-04-07 15:33:22.630,2024-04-07 15:36:15.449
VER,4.0,0 days 00:01:36.472000,True,5775.449,5871.921,2024-04-07 15:36:15.449,2024-04-07 15:37:51.921
VER,5.0,0 days 00:01:36.437000,True,5871.921,5968.358,2024-04-07 15:37:51.921,2024-04-07 15:39:28.358
VER,6.0,0 days 00:01:36.855000,False,5968.358,6065.213,2024-04-07 15:39:28.358,2024-04-07 15:41:05.213
VER,7.0,0 days 00:01:36.970000,False,6065.213,6162.183,2024-04-07 15:41:05.213,2024-04-07 15:42:42.183
VER,8.0,0 days 00:01:37.329000,False,6162.183,6259.512,2024-04-07 15:42:42.183,2024-04-07 15:44:19.512
VER,9.0,0 days 00:01:37.178000,False,6259.512,6356.69,2024-04-07 15:44:19.512,2024-04-07 15:45:56.690
VER,10.0,0 days 00:01:37.590000,False,6356.69,6454.28,2024-04-07 15:45:56.690,2024-04-07 15:47:34.280
VER,11.0,0 days 00:01:37.774000,False,6454.28,6552.054,2024-04-07 15:47:34.280,2024-04-07 15:49:12.054
VER,12.0,0 days 00:01:37.753000,False,6552.054,6649.807,2024-04-07 15:49:12.054,2024-04-07 15:50:49.807
VER,13.0,0 days 00:01:37.727000,False,6649.807,6747.534,2024-04-07 15:50:49.807,2024-04-07 15:52:27.534
VER,14.0,0 days 00:01:37.910000,False,6747.534,6845.444,2024-04-07 15:52:27.534,2024-04-07 15:54:05.444
VER,15.0,0 days 00:01:37.854000,False,6845.444,6943.298,2024-04-07 15:54:05.444,2024-04-07 15:55:43.298
VER,16.0,0 days 00:01:40.272000,False,6943.298,7043.57,2024-04-07 15:55:43.298,2024-04-07 15:57:23.570
VER,17.0,0 days 00:01:56.478000,False,7043.57,7160.048,2024-04-07 15:57:23.570,2024-04-07 15:59:20.048
VER,18.0,0 days 00:01:36.822000,False,7160.048,7256.87,2024-04-07 15:59:20.048,2024-04-07 16:00:56.870
VER,19.0,0 days 00:01:36.252000,True,7256.87,7353.122,2024-04-07 16:00:56.870,2024-04-07 16:02:33.122
VER,20.0,0 days 00:01:36.402000,False,7353.122,7449.524,2024-04-07 16:02:33.122,2024-04-07 16:04:09.524
VER,21.0,0 days 00:01:35.617000,True,7449.524,7545.141,2024-04-07 16:04:09.524,2024-04-07 16:05:45.141
VER,22.0,0 days 00:01:36.384000,False,7545.141,7641.525,2024-04-07 16:05:45.141,2024-04-07 16:07:21.525
VER,23.0,0 days 00:01:36.205000,False,7641.525,7737.73,2024-04-07 16:07:21.525,2024-04-07 16:08:57.730
VER,24.0,0 days 00:01:36.532000,False,7737.73,7834.262,2024-04-07 16:08:57.730,2024-04-07 16:10:34.262
VER,25.0,0 days 00:01:36.337000,False,7834.262,7930.599,2024-04-07 16:10:34.262,2024-04-07 16:12:10.599
VER,26.0,0 days 00:01:36.437000,False,7930.599,8027.036,2024-04-07 16:12:10.599,2024-04-07 16:13:47.036
VER,27.0,0 days 00:01:36.654000,False,8027.036,8123.69,2024-04-07 16:13:47.036,2024-04-07 16:15:23.690
VER,28.0,0 days 00:01:36.496000,False,8123.69,8220.186,2024-04-07 16:15:23.690,2024-04-07 16:17:00.186
