Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
RUS,1.0,0 days 00:01:43.267000,False,3386.961,3490.045,2024-11-24 15:56:26.961,2024-11-24 15:58:10.045
RUS,2.0,0 days 00:01:39.077000,True,3490.045,3589.122,2024-11-24 15:58:10.045,2024-11-24 15:59:49.122
RUS,3.0,0 days 00:01:38.864000,True,3589.122,3687.986,2024-11-24 15:59:49.122,2024-11-24 16:01:27.986
RUS,4.0,0 days 00:01:38.748000,True,3687.986,3786.734,2024-11-24 16:01:27.986,2024-11-24 16:03:06.734
RUS,5.0,0 days 00:01:38.136000,True,3786.734,3884.87,2024-11-24 16:03:06.734,2024-11-24 16:04:44.870
RUS,6.0,0 days 00:01:38.330000,False,3884.87,3983.2,2024-11-24 16:04:44.870,2024-11-24 16:06:23.200
RUS,7.0,0 days 00:01:38.498000,False,3983.2,4081.698,2024-11-24 16:06:23.200,2024-11-24 16:08:01.698
RUS,8.0,0 days 00:01:38.353000,False,4081.698,4180.051,2024-11-24 16:08:01.698,2024-11-24 16:09:40.051
RUS,9.0,0 days 00:01:38.751000,False,4180.051,4278.802,2024-11-24 16:09:40.051,2024-11-24 16:11:18.801
RUS,10.0,0 days 00:01:38.681000,False,4278.802,4377.483,2024-11-24 16:11:18.801,2024-11-24 16:12:57.483
RUS,11.0,0 days 00:01:38.689000,False,4377.483,4476.172,2024-11-24 16:12:57.483,2024-11-24 16:14:36.172
RUS,12.0,0 days 00:01:43.522000,False,4476.172,4579.694,2024-11-24 16:14:36.172,2024-11-24 16:16:19.694
RUS,13.0,0 days 00:01:54.754000,False,4579.694,4694.448,2024-11-24 16:16:19.694,2024-11-24 16:18:14.448
RUS,14.0,0 days 00:01:38.296000,False,4694.448,4792.744,2024-11-24 16:18:14.448,2024-11-24 16:19:52.744
RUS,15.0,0 days 00:01:38.331000,False,4792.744,4891.075,2024-11-24 16:19:52.744,2024-11-24 16:21:31.075
RUS,16.0,0 days 00:01:37.913000,True,4891.075,4988.988,2024-11-24 16:21:31.075,2024-11-24 16:23:08.988
RUS,17.0,0 days 00:01:37.869000,True,4988.988,5086.857,2024-11-24 16:23:08.988,2024-11-24 16:24:46.857
RUS,18.0,0 days 00:01:37.964000,False,5086.857,5184.821,2024-11-24 16:24:46.857,2024-11-24 16:26:24.821
RUS,19.0,0 days 00:01:38.003000,False,5184.821,5282.824,2024-11-24 16:26:24.821,2024-11-24 16:28:02.824
RUS,20.0,0 days 00:01:37.733000,True,5282.824,5380.557,2024-11-24 16:28:02.824,2024-11-24 16:29:40.557
