Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
NOR,1.0,0 days 00:01:20.878000,False,3455.434,3536.606,2024-08-25 22:57:35.434,2024-08-25 22:58:56.606
NOR,2.0,0 days 00:01:16.134000,True,3536.606,3612.74,2024-08-25 22:58:56.606,2024-08-25 23:00:12.740
NOR,3.0,0 days 00:01:16.496000,False,3612.74,3689.236,2024-08-25 23:00:12.740,2024-08-25 23:01:29.236
NOR,4.0,0 days 00:01:16.304000,False,3689.236,3765.54,2024-08-25 23:01:29.236,2024-08-25 23:02:45.540
NOR,5.0,0 days 00:01:16.271000,False,3765.54,3841.811,2024-08-25 23:02:45.540,2024-08-25 23:04:01.811
NOR,6.0,0 days 00:01:16.225000,False,3841.811,3918.036,2024-08-25 23:04:01.811,2024-08-25 23:05:18.036
NOR,7.0,0 days 00:01:16.395000,False,3918.036,3994.431,2024-08-25 23:05:18.036,2024-08-25 23:06:34.431
NOR,8.0,0 days 00:01:16.169000,False,3994.431,4070.6,2024-08-25 23:06:34.431,2024-08-25 23:07:50.600
NOR,9.0,0 days 00:01:16.477000,False,4070.6,4147.077,2024-08-25 23:07:50.600,2024-08-25 23:09:07.077
NOR,10.0,0 days 00:01:16.292000,False,4147.077,4223.369,2024-08-25 23:09:07.077,2024-08-25 23:10:23.368
NOR,11.0,0 days 00:01:16.303000,False,4223.369,4299.672,2024-08-25 23:10:23.368,2024-08-25 23:11:39.671
NOR,12.0,0 days 00:01:16.200000,False,4299.672,4375.872,2024-08-25 23:11:39.671,2024-08-25 23:12:55.872
NOR,13.0,0 days 00:01:16.242000,False,4375.872,4452.114,2024-08-25 23:12:55.872,2024-08-25 23:14:12.114
NOR,14.0,0 days 00:01:16.470000,False,4452.114,4528.584,2024-08-25 23:14:12.114,2024-08-25 23:15:28.584
NOR,15.0,0 days 00:01:16.227000,False,4528.584,4604.811,2024-08-25 23:15:28.584,2024-08-25 23:16:44.811
NOR,16.0,0 days 00:01:15.689000,True,4604.811,4680.5,2024-08-25 23:16:44.811,2024-08-25 23:18:00.500
NOR,17.0,0 days 00:01:16.085000,False,4680.5,4756.585,2024-08-25 23:18:00.500,2024-08-25 23:19:16.585
NOR,18.0,0 days 00:01:16.066000,False,4756.585,4832.651,2024-08-25 23:19:16.585,2024-08-25 23:20:32.651
NOR,19.0,0 days 00:01:15.899000,False,4832.651,4908.55,2024-08-25 23:20:32.651,2024-08-25 23:21:48.550
NOR,20.0,0 days 00:01:16.043000,False,4908.55,4984.593,2024-08-25 23:21:48.550,2024-08-25 23:23:04.593
NOR,21.0,0 days 00:01:15.729000,False,4984.593,5060.322,2024-08-25 23:23:04.593,2024-08-25 23:24:20.322
NOR,22.0,0 days 00:01:15.796000,False,5060.322,5136.118,2024-08-25 23:24:20.322,2024-08-25 23:25:36.118
NOR,23.0,0 days 00:01:15.784000,False,5136.118,5211.902,2024-08-25 23:25:36.118,2024-08-25 23:26:51.902
NOR,24.0,0 days 00:01:15.692000,False,5211.902,5287.594,2024-08-25 23:26:51.902,2024-08-25 23:28:07.594
NOR,25.0,0 days 00:01:15.709000,False,5287.594,5363.303,2024-08-25 23:28:07.594,2024-08-25 23:29:23.303
NOR,26.0,0 days 00:01:15.873000,False,5363.303,5439.176,2024-08-25 23:29:23.303,2024-08-25 23:30:39.176
NOR,27.0,0 days 00:01:15.744000,False,5439.176,5514.92,2024-08-25 23:30:39.176,2024-08-25 23:31:54.920
NOR,28.0,0 days 00:01:19.241000,False,5514.92,5594.161,2024-08-25 23:31:54.920,2024-08-25 23:33:14.161
NOR,29.0,0 days 00:01:35.150000,False,5594.161,5689.311,2024-08-25 23:33:14.161,2024-08-25 23:34:49.311
NOR,30.0,0 days 00:01:14.571000,True,5689.311,5763.882,2024-08-25 23:34:49.311,2024-08-25 23:36:03.882
NOR,31.0,0 days 00:01:14.391000,True,5763.882,5838.273,2024-08-25 23:36:03.882,2024-08-25 23:37:18.273
NOR,32.0,0 days 00:01:14.476000,False,5838.273,5912.749,2024-08-25 23:37:18.273,2024-08-25 23:38:32.749
NOR,33.0,0 days 00:01:14.489000,False,5912.749,5987.238,2024-08-25 23:38:32.749,2024-08-25 23:39:47.238
NOR,34.0,0 days 00:01:14.491000,False,5987.238,6061.729,2024-08-25 23:39:47.238,2024-08-25 23:41:01.729
NOR,35.0,0 days 00:01:14.474000,False,6061.729,6136.203,2024-08-25 23:41:01.729,2024-08-25 23:42:16.203
NOR,36.0,0 days 00:01:14.312000,True,6136.203,6210.515,2024-08-25 23:42:16.203,2024-08-25 23:43:30.515
NOR,37.0,0 days 00:01:14.724000,False,6210.515,6285.239,2024-08-25 23:43:30.515,2024-08-25 23:44:45.239
NOR,38.0,0 days 00:01:14.557000,False,6285.239,6359.796,2024-08-25 23:44:45.239,2024-08-25 23:45:59.796
NOR,39.0,0 days 00:01:14.707000,False,6359.796,6434.503,2024-08-25 23:45:59.796,2024-08-25 23:47:14.503
NOR,40.0,0 days 00:01:14.639000,False,6434.503,6509.142,2024-08-25 23:47:14.503,2024-08-25 23:48:29.142
NOR,41.0,0 days 00:01:15.010000,False,6509.142,6584.152,2024-08-25 23:48:29.142,2024-08-25 23:49:44.152
NOR,42.0,0 days 00:01:15.205000,False,6584.152,6659.357,2024-08-25 23:49:44.152,2024-08-25 23:50:59.357
NOR,43.0,0 days 00:01:14.791000,False,6659.357,6734.148,2024-08-25 23:50:59.357,2024-08-25 23:52:14.148
NOR,44.0,0 days 00:01:14.577000,False,6734.148,6808.725,2024-08-25 23:52:14.148,2024-08-25 23:53:28.725
NOR,45.0,0 days 00:01:14.831000,False,6808.725,6883.556,2024-08-25 23:53:28.725,2024-08-25 23:54:43.556
NOR,46.0,0 days 00:01:14.603000,False,6883.556,6958.159,2024-08-25 23:54:43.556,2024-08-25 23:55:58.159
NOR,47.0,0 days 00:01:14.892000,False,6958.159,7033.051,2024-08-25 23:55:58.159,2024-08-25 23:57:13.051
NOR,48.0,0 days 00:01:14.776000,False,7033.051,7107.827,2024-08-25 23:57:13.051,2024-08-25 23:58:27.827
NOR,49.0,0 days 00:01:14.911000,False,7107.827,7182.738,2024-08-25 23:58:27.827,2024-08-25 23:59:42.738
NOR,50.0,0 days 00:01:14.575000,False,7182.738,7257.313,2024-08-25 23:59:42.738,2024-08-26 00:00:57.313
NOR,51.0,0 days 00:01:14.832000,False,7257.313,7332.145,2024-08-26 00:00:57.313,2024-08-26 00:02:12.145
NOR,52.0,0 days 00:01:14.687000,False,7332.145,7406.832,2024-08-26 00:02:12.145,2024-08-26 00:03:26.832
NOR,53.0,0 days 00:01:14.738000,False,7406.832,7481.57,2024-08-26 00:03:26.832,2024-08-26 00:04:41.570
NOR,54.0,0 days 00:01:14.468000,False,7481.57,7556.038,2024-08-26 00:04:41.570,2024-08-26 00:05:56.038
NOR,55.0,0 days 00:01:14.599000,False,7556.038,7630.637,2024-08-26 00:05:56.038,2024-08-26 00:07:10.637
NOR,56.0,0 days 00:01:14.816000,False,7630.637,7705.453,2024-08-26 00:07:10.637,2024-08-26 00:08:25.453
NOR,57.0,0 days 00:01:14.867000,False,7705.453,7780.32,2024-08-26 00:08:25.453,2024-08-26 00:09:40.320
NOR,58.0,0 days 00:01:15.098000,False,7780.32,7855.418,2024-08-26 00:09:40.320,2024-08-26 00:10:55.418
NOR,59.0,0 days 00:01:14.979000,False,7855.418,7930.397,2024-08-26 00:10:55.418,2024-08-26 00:12:10.397
NOR,60.0,0 days 00:01:14.518000,False,7930.397,8004.915,2024-08-26 00:12:10.397,2024-08-26 00:13:24.915
NOR,61.0,0 days 00:01:15.046000,False,8004.915,8079.961,2024-08-26 00:13:24.915,2024-08-26 00:14:39.961
NOR,62.0,0 days 00:01:15.008000,False,8079.961,8154.969,2024-08-26 00:14:39.961,2024-08-26 00:15:54.969
NOR,63.0,0 days 00:01:14.310000,True,8154.969,8229.279,2024-08-26 00:15:54.969,2024-08-26 00:17:09.279
NOR,64.0,0 days 00:01:14.858000,False,8229.279,8304.137,2024-08-26 00:17:09.279,2024-08-26 00:18:24.137
NOR,65.0,0 days 00:01:14.786000,False,8304.137,8378.923,2024-08-26 00:18:24.137,2024-08-26 00:19:38.923
NOR,66.0,0 days 00:01:14.624000,False,8378.923,8453.547,2024-08-26 00:19:38.923,2024-08-26 00:20:53.547
NOR,67.0,0 days 00:01:14.688000,False,8453.547,8528.235,2024-08-26 00:20:53.547,2024-08-26 00:22:08.235
NOR,68.0,0 days 00:01:14.660000,False,8528.235,8602.895,2024-08-26 00:22:08.235,2024-08-26 00:23:22.895
NOR,69.0,0 days 00:01:14.657000,False,8602.895,8677.552,2024-08-26 00:23:22.895,2024-08-26 00:24:37.552
NOR,70.0,0 days 00:01:14.871000,False,8677.552,8752.423,2024-08-26 00:24:37.552,2024-08-26 00:25:52.423
NOR,71.0,0 days 00:01:15.007000,False,8752.423,8827.43,2024-08-26 00:25:52.423,2024-08-26 00:27:07.430
NOR,72.0,0 days 00:01:13.817000,True,8827.43,8901.247,2024-08-26 00:27:07.430,2024-08-26 00:28:21.247
VER,1.0,0 days 00:01:19.915000,False,3455.434,3535.643,2024-08-25 22:57:35.434,2024-08-25 22:58:55.643
VER,2.0,0 days 00:01:16.106000,True,3535.643,3611.749,2024-08-25 22:58:55.643,2024-08-25 23:00:11.749
VER,3.0,0 days 00:01:16.131000,False,3611.749,3687.88,2024-08-25 23:00:11.749,2024-08-25 23:01:27.880
VER,4.0,0 days 00:01:16.432000,False,3687.88,3764.312,2024-08-25 23:01:27.880,2024-08-25 23:02:44.312
VER,5.0,0 days 00:01:16.181000,False,3764.312,3840.493,2024-08-25 23:02:44.312,2024-08-25 23:04:00.493
VER,6.0,0 days 00:01:16.155000,False,3840.493,3916.648,2024-08-25 23:04:00.493,2024-08-25 23:05:16.648
VER,7.0,0 days 00:01:16.281000,False,3916.648,3992.929,2024-08-25 23:05:16.648,2024-08-25 23:06:32.929
VER,8.0,0 days 00:01:16.347000,False,3992.929,4069.276,2024-08-25 23:06:32.929,2024-08-25 23:07:49.276
VER,9.0,0 days 00:01:16.252000,False,4069.276,4145.528,2024-08-25 23:07:49.276,2024-08-25 23:09:05.528
VER,10.0,0 days 00:01:16.455000,False,4145.528,4221.983,2024-08-25 23:09:05.528,2024-08-25 23:10:21.983
VER,11.0,0 days 00:01:16.360000,False,4221.983,4298.343,2024-08-25 23:10:21.983,2024-08-25 23:11:38.343
VER,12.0,0 days 00:01:16.538000,False,4298.343,4374.881,2024-08-25 23:11:38.343,2024-08-25 23:12:54.881
VER,13.0,0 days 00:01:16.338000,False,4374.881,4451.219,2024-08-25 23:12:54.881,2024-08-25 23:14:11.219
VER,14.0,0 days 00:01:16.466000,False,4451.219,4527.685,2024-08-25 23:14:11.219,2024-08-25 23:15:27.685
