LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-12-02 01:54:49.896,2024-12-02 01:56:55.748,20
2.0,2024-12-02 01:56:57.331,2024-12-02 01:59:20.051,18
3.0,2024-12-02 01:59:20.051,2024-12-02 02:01:37.807,18
4.0,2024-12-02 02:01:37.807,2024-12-02 02:03:56.666,18
5.0,2024-12-02 02:03:56.666,2024-12-02 02:05:27.104,18
6.0,2024-12-02 02:05:27.104,2024-12-02 02:06:55.578,18
7.0,2024-12-02 02:06:55.578,2024-12-02 02:08:23.665,18
8.0,2024-12-02 02:08:23.665,2024-12-02 02:09:54.145,18
9.0,2024-12-02 02:09:50.170,2024-12-02 02:11:17.408,17
10.0,2024-12-02 02:11:17.408,2024-12-02 02:12:44.714,17
11.0,2024-12-02 02:12:44.714,2024-12-02 02:14:12.096,17
12.0,2024-12-02 02:14:12.096,2024-12-02 02:15:39.161,17
13.0,2024-12-02 02:15:39.161,2024-12-02 02:17:06.190,17
14.0,2024-12-02 02:17:06.190,2024-12-02 02:18:33.068,17
15.0,2024-12-02 02:18:33.068,2024-12-02 02:19:59.826,17
16.0,2024-12-02 02:19:59.826,2024-12-02 02:21:26.503,17
17.0,2024-12-02 02:21:26.503,2024-12-02 02:22:53.024,17
18.0,2024-12-02 02:22:53.024,2024-12-02 02:24:19.516,17
19.0,2024-12-02 02:24:19.516,2024-12-02 02:25:45.931,17
20.0,2024-12-02 02:25:45.931,2024-12-02 02:27:12.243,17
21.0,2024-12-02 02:27:12.243,2024-12-02 02:28:38.478,17
22.0,2024-12-02 02:28:38.478,2024-12-02 02:30:04.615,17
23.0,2024-12-02 02:30:04.615,2024-12-02 02:31:30.885,17
24.0,2024-12-02 02:31:30.885,2024-12-02 02:32:58.721,17
25.0,2024-12-02 02:32:58.721,2024-12-02 02:34:26.058,17
26.0,2024-12-02 02:34:26.058,2024-12-02 02:35:51.926,17
27.0,2024-12-02 02:35:51.926,2024-12-02 02:37:17.928,17
28.0,2024-12-02 02:37:17.928,2024-12-02 02:38:45.204,17
29.0,2024-12-02 02:38:45.204,2024-12-02 02:40:10.890,17
30.0,2024-12-02 02:40:10.890,2024-12-02 02:41:36.664,17
31.0,2024-12-02 02:41:36.664,2024-12-02 02:43:02.446,17
32.0,2024-12-02 02:43:02.446,2024-12-02 02:44:29.343,17
33.0,2024-12-02 02:44:29.343,2024-12-02 02:45:55.027,17
34.0,2024-12-02 02:45:55.027,2024-12-02 02:47:26.658,17
35.0,2024-12-02 02:47:26.658,2024-12-02 02:49:27.758,17
36.0,2024-12-02 02:49:27.758,2024-12-02 02:51:54.681,17
37.0,2024-12-02 02:51:54.681,2024-12-02 02:54:12.639,17
38.0,2024-12-02 02:54:12.639,2024-12-02 02:56:31.980,17
39.0,2024-12-02 02:56:31.980,2024-12-02 02:58:43.333,17
40.0,2024-12-02 02:58:42.894,2024-12-02 03:00:35.546,16
41.0,2024-12-02 03:00:32.938,2024-12-02 03:02:47.321,15
42.0,2024-12-02 03:02:47.321,2024-12-02 03:05:07.669,15
43.0,2024-12-02 03:05:07.669,2024-12-02 03:06:35.069,15
44.0,2024-12-02 03:06:35.069,2024-12-02 03:08:00.659,15
45.0,2024-12-02 03:08:00.659,2024-12-02 03:09:25.889,15
46.0,2024-12-02 03:09:25.889,2024-12-02 03:10:52.610,15
47.0,2024-12-02 03:10:52.610,2024-12-02 03:12:17.598,15
48.0,2024-12-02 03:12:17.598,2024-12-02 03:13:43.371,15
49.0,2024-12-02 03:13:43.371,2024-12-02 03:15:08.012,15
50.0,2024-12-02 03:15:08.012,2024-12-02 03:16:32.767,15
51.0,2024-12-02 03:16:32.767,2024-12-02 03:17:57.644,15
52.0,2024-12-02 03:17:57.644,2024-12-02 03:19:22.394,15
53.0,2024-12-02 03:19:22.394,2024-12-02 03:20:47.317,15
54.0,2024-12-02 03:20:47.317,2024-12-02 03:22:12.188,15
55.0,2024-12-02 03:22:12.188,2024-12-02 03:23:37.162,15
56.0,2024-12-02 03:23:37.162,2024-12-02 03:25:04.090,15
57.0,2024-12-02 03:24:59.493,2024-12-02 03:26:24.014,14
