Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
VER,1.0,0 days 00:01:51.344000,False,3289.896,3401.503,2024-12-02 01:54:49.896,2024-12-02 01:56:41.503
VER,2.0,0 days 00:02:21.257000,True,3401.503,3542.76,2024-12-02 01:56:41.503,2024-12-02 01:59:02.760
VER,3.0,0 days 00:02:17.390000,True,3542.76,3680.15,2024-12-02 01:59:02.760,2024-12-02 02:01:20.150
VER,4.0,,False,3680.15,3833.242,2024-12-02 02:01:20.150,2024-12-02 02:03:53.242
VER,5.0,0 days 00:01:26.724000,True,3833.242,3919.966,2024-12-02 02:03:53.242,2024-12-02 02:05:19.966
VER,6.0,0 days 00:01:26.502000,True,3919.966,4006.468,2024-12-02 02:05:19.966,2024-12-02 02:06:46.468
VER,7.0,0 days 00:01:26.376000,True,4006.468,4092.844,2024-12-02 02:06:46.468,2024-12-02 02:08:12.844
VER,8.0,0 days 00:01:26.280000,True,4092.844,4179.124,2024-12-02 02:08:12.844,2024-12-02 02:09:39.124
VER,9.0,0 days 00:01:26.200000,True,4179.124,4265.324,2024-12-02 02:09:39.124,2024-12-02 02:11:05.323
VER,10.0,0 days 00:01:25.973000,True,4265.324,4351.297,2024-12-02 02:11:05.323,2024-12-02 02:12:31.296
VER,11.0,0 days 00:01:25.808000,True,4351.297,4437.105,2024-12-02 02:12:31.296,2024-12-02 02:13:57.105
VER,12.0,0 days 00:01:25.903000,False,4437.105,4523.008,2024-12-02 02:13:57.105,2024-12-02 02:15:23.008
VER,13.0,0 days 00:01:25.843000,False,4523.008,4608.851,2024-12-02 02:15:23.008,2024-12-02 02:16:48.851
VER,14.0,0 days 00:01:25.812000,False,4608.851,4694.663,2024-12-02 02:16:48.851,2024-12-02 02:18:14.663
VER,15.0,0 days 00:01:25.698000,True,4694.663,4780.361,2024-12-02 02:18:14.663,2024-12-02 02:19:40.361
VER,16.0,0 days 00:01:25.605000,True,4780.361,4865.966,2024-12-02 02:19:40.361,2024-12-02 02:21:05.966
VER,17.0,0 days 00:01:25.460000,True,4865.966,4951.426,2024-12-02 02:21:05.966,2024-12-02 02:22:31.426
VER,18.0,0 days 00:01:25.079000,True,4951.426,5036.505,2024-12-02 02:22:31.426,2024-12-02 02:23:56.505
VER,19.0,0 days 00:01:25.309000,False,5036.505,5121.814,2024-12-02 02:23:56.505,2024-12-02 02:25:21.814
VER,20.0,0 days 00:01:24.896000,True,5121.814,5206.71,2024-12-02 02:25:21.814,2024-12-02 02:26:46.710
VER,21.0,0 days 00:01:24.970000,False,5206.71,5291.68,2024-12-02 02:26:46.710,2024-12-02 02:28:11.680
VER,22.0,0 days 00:01:24.908000,False,5291.68,5376.588,2024-12-02 02:28:11.680,2024-12-02 02:29:36.588
VER,23.0,0 days 00:01:24.856000,True,5376.588,5461.444,2024-12-02 02:29:36.588,2024-12-02 02:31:01.444
VER,24.0,0 days 00:01:24.825000,True,5461.444,5546.269,2024-12-02 02:31:01.444,2024-12-02 02:32:26.269
VER,25.0,0 days 00:01:24.702000,True,5546.269,5630.971,2024-12-02 02:32:26.269,2024-12-02 02:33:50.971
VER,26.0,0 days 00:01:24.775000,False,5630.971,5715.746,2024-12-02 02:33:50.971,2024-12-02 02:35:15.746
VER,27.0,0 days 00:01:24.720000,False,5715.746,5800.466,2024-12-02 02:35:15.746,2024-12-02 02:36:40.466
VER,28.0,0 days 00:01:24.719000,False,5800.466,5885.185,2024-12-02 02:36:40.466,2024-12-02 02:38:05.185
VER,29.0,0 days 00:01:24.861000,False,5885.185,5970.046,2024-12-02 02:38:05.185,2024-12-02 02:39:30.046
VER,30.0,0 days 00:01:25.127000,False,5970.046,6055.173,2024-12-02 02:39:30.046,2024-12-02 02:40:55.173
VER,31.0,0 days 00:01:24.413000,True,6055.173,6139.586,2024-12-02 02:40:55.173,2024-12-02 02:42:19.586
VER,32.0,0 days 00:01:24.427000,False,6139.586,6224.013,2024-12-02 02:42:19.586,2024-12-02 02:43:44.013
VER,33.0,0 days 00:01:24.350000,True,6224.013,6308.363,2024-12-02 02:43:44.013,2024-12-02 02:45:08.363
VER,34.0,0 days 00:01:24.468000,False,6308.363,6392.831,2024-12-02 02:45:08.363,2024-12-02 02:46:32.831
VER,35.0,0 days 00:01:32.307000,False,6392.831,6485.138,2024-12-02 02:46:32.831,2024-12-02 02:48:05.138
VER,36.0,,False,6485.138,6654.405,2024-12-02 02:48:05.138,2024-12-02 02:50:54.405
VER,37.0,,False,6654.405,6822.98,2024-12-02 02:50:54.405,2024-12-02 02:53:42.980
VER,38.0,,False,6822.98,6974.039,2024-12-02 02:53:42.980,2024-12-02 02:56:14.039
VER,39.0,0 days 00:02:26.153000,False,6974.039,7120.192,2024-12-02 02:56:14.039,2024-12-02 02:58:40.192
VER,40.0,0 days 00:01:39.436000,False,7120.192,7219.628,2024-12-02 02:58:40.192,2024-12-02 03:00:19.628
VER,41.0,0 days 00:02:16.076000,False,7219.628,7355.704,2024-12-02 03:00:19.628,2024-12-02 03:02:35.704
VER,42.0,0 days 00:02:29.083000,False,7355.704,7504.787,2024-12-02 03:02:35.704,2024-12-02 03:05:04.787
VER,43.0,0 days 00:01:24.509000,False,7504.787,7589.296,2024-12-02 03:05:04.787,2024-12-02 03:06:29.296
VER,44.0,0 days 00:01:23.533000,True,7589.296,7672.829,2024-12-02 03:06:29.296,2024-12-02 03:07:52.829
VER,45.0,0 days 00:01:23.393000,True,7672.829,7756.222,2024-12-02 03:07:52.829,2024-12-02 03:09:16.222
VER,46.0,0 days 00:01:23.370000,True,7756.222,7839.592,2024-12-02 03:09:16.222,2024-12-02 03:10:39.592
VER,47.0,0 days 00:01:23.303000,True,7839.592,7922.895,2024-12-02 03:10:39.592,2024-12-02 03:12:02.895
VER,48.0,0 days 00:01:23.423000,False,7922.895,8006.318,2024-12-02 03:12:02.895,2024-12-02 03:13:26.318
VER,49.0,0 days 00:01:23.468000,False,8006.318,8089.786,2024-12-02 03:13:26.318,2024-12-02 03:14:49.786
VER,50.0,0 days 00:01:23.321000,False,8089.786,8173.107,2024-12-02 03:14:49.786,2024-12-02 03:16:13.107
VER,51.0,0 days 00:01:23.043000,True,8173.107,8256.15,2024-12-02 03:16:13.107,2024-12-02 03:17:36.150
VER,52.0,0 days 00:01:23.162000,False,8256.15,8339.312,2024-12-02 03:17:36.150,2024-12-02 03:18:59.312
VER,53.0,0 days 00:01:23.132000,False,8339.312,8422.444,2024-12-02 03:18:59.312,2024-12-02 03:20:22.443
VER,54.0,0 days 00:01:23.006000,True,8422.444,8505.45,2024-12-02 03:20:22.443,2024-12-02 03:21:45.450
VER,55.0,0 days 00:01:22.905000,True,8505.45,8588.355,2024-12-02 03:21:45.450,2024-12-02 03:23:08.355
VER,56.0,0 days 00:01:23.369000,False,8588.355,8671.724,2024-12-02 03:23:08.355,2024-12-02 03:24:31.724
VER,57.0,0 days 00:01:23.776000,False,8671.724,8755.5,2024-12-02 03:24:31.724,2024-12-02 03:25:55.500
GAS,1.0,0 days 00:02:10.912000,False,3289.896,3421.071,2024-12-02 01:54:49.896,2024-12-02 01:57:01.071
GAS,2.0,0 days 00:02:23.807000,True,3421.071,3564.878,2024-12-02 01:57:01.071,2024-12-02 01:59:24.878
GAS,3.0,0 days 00:02:19.509000,True,3564.878,3704.387,2024-12-02 01:59:24.878,2024-12-02 02:01:44.387
GAS,4.0,0 days 00:02:13.088000,True,3704.387,3837.475,2024-12-02 02:01:44.387,2024-12-02 02:03:57.475
GAS,5.0,0 days 00:01:31.425000,True,3837.475,3928.9,2024-12-02 02:03:57.475,2024-12-02 02:05:28.900
GAS,6.0,0 days 00:01:28.418000,True,3928.9,4017.318,2024-12-02 02:05:28.900,2024-12-02 02:06:57.318
GAS,7.0,0 days 00:01:27.738000,True,4017.318,4105.056,2024-12-02 02:06:57.318,2024-12-02 02:08:25.055
GAS,8.0,0 days 00:01:27.881000,False,4105.056,4192.937,2024-12-02 02:08:25.055,2024-12-02 02:09:52.937
GAS,9.0,0 days 00:01:27.580000,True,4192.937,4280.517,2024-12-02 02:09:52.937,2024-12-02 02:11:20.517
GAS,10.0,0 days 00:01:28.272000,False,4280.517,4368.789,2024-12-02 02:11:20.517,2024-12-02 02:12:48.789
GAS,11.0,0 days 00:01:28.181000,False,4368.789,4456.97,2024-12-02 02:12:48.789,2024-12-02 02:14:16.970
GAS,12.0,0 days 00:01:27.827000,False,4456.97,4544.797,2024-12-02 02:14:16.970,2024-12-02 02:15:44.797
GAS,13.0,0 days 00:01:26.986000,True,4544.797,4631.783,2024-12-02 02:15:44.797,2024-12-02 02:17:11.783
GAS,14.0,0 days 00:01:27.011000,False,4631.783,4718.794,2024-12-02 02:17:11.783,2024-12-02 02:18:38.794
GAS,15.0,0 days 00:01:26.737000,True,4718.794,4805.531,2024-12-02 02:18:38.794,2024-12-02 02:20:05.531
GAS,16.0,0 days 00:01:26.700000,True,4805.531,4892.231,2024-12-02 02:20:05.531,2024-12-02 02:21:32.231
GAS,17.0,0 days 00:01:26.514000,True,4892.231,4978.745,2024-12-02 02:21:32.231,2024-12-02 02:22:58.745
GAS,18.0,0 days 00:01:26.694000,False,4978.745,5065.439,2024-12-02 02:22:58.745,2024-12-02 02:24:25.439
GAS,19.0,0 days 00:01:26.696000,False,5065.439,5152.135,2024-12-02 02:24:25.439,2024-12-02 02:25:52.135
GAS,20.0,0 days 00:01:26.369000,True,5152.135,5238.504,2024-12-02 02:25:52.135,2024-12-02 02:27:18.504
GAS,21.0,0 days 00:01:26.946000,False,5238.504,5325.45,2024-12-02 02:27:18.504,2024-12-02 02:28:45.450
GAS,22.0,0 days 00:01:26.453000,False,5325.45,5411.903,2024-12-02 02:28:45.450,2024-12-02 02:30:11.903
GAS,23.0,0 days 00:01:26.298000,True,5411.903,5498.201,2024-12-02 02:30:11.903,2024-12-02 02:31:38.201
GAS,24.0,0 days 00:01:26.235000,True,5498.201,5584.436,2024-12-02 02:31:38.201,2024-12-02 02:33:04.436
GAS,25.0,0 days 00:01:26.174000,True,5584.436,5670.61,2024-12-02 02:33:04.436,2024-12-02 02:34:30.610
GAS,26.0,0 days 00:01:26.120000,True,5670.61,5756.73,2024-12-02 02:34:30.610,2024-12-02 02:35:56.730
GAS,27.0,0 days 00:01:25.969000,True,5756.73,5842.699,2024-12-02 02:35:56.730,2024-12-02 02:37:22.699
GAS,28.0,0 days 00:01:25.533000,True,5842.699,5928.232,2024-12-02 02:37:22.699,2024-12-02 02:38:48.232
GAS,29.0,0 days 00:01:25.588000,False,5928.232,6013.82,2024-12-02 02:38:48.232,2024-12-02 02:40:13.820
GAS,30.0,0 days 00:01:25.344000,True,6013.82,6099.164,2024-12-02 02:40:13.820,2024-12-02 02:41:39.164
GAS,31.0,0 days 00:01:25.335000,True,6099.164,6184.499,2024-12-02 02:41:39.164,2024-12-02 02:43:04.499
GAS,32.0,0 days 00:01:25.331000,True,6184.499,6269.83,2024-12-02 02:43:04.499,2024-12-02 02:44:29.830
GAS,33.0,0 days 00:01:25.122000,True,6269.83,6354.952,2024-12-02 02:44:29.830,2024-12-02 02:45:54.952
