Driver,LapNumber,LapTime,IsPersonalBest,LapStartTime_seconds,LapFinishTime_seconds,LapStartTime_KST,LapFinishTime_KST
HAM,1.0,0 days 00:01:36.034000,False,3495.512,3591.778,2024-07-07 23:58:15.512,2024-07-07 23:59:51.778
HAM,2.0,0 days 00:01:31.420000,True,3591.778,3683.198,2024-07-07 23:59:51.778,2024-07-08 00:01:23.198
HAM,3.0,0 days 00:01:31.716000,False,3683.198,3774.914,2024-07-08 00:01:23.198,2024-07-08 00:02:54.914
HAM,4.0,0 days 00:01:31.988000,False,3774.914,3866.902,2024-07-08 00:02:54.914,2024-07-08 00:04:26.902
HAM,5.0,0 days 00:01:31.677000,False,3866.902,3958.579,2024-07-08 00:04:26.902,2024-07-08 00:05:58.579
HAM,6.0,0 days 00:01:31.746000,False,3958.579,4050.325,2024-07-08 00:05:58.579,2024-07-08 00:07:30.325
HAM,7.0,0 days 00:01:31.675000,False,4050.325,4142.0,2024-07-08 00:07:30.325,2024-07-08 00:09:02.000
HAM,8.0,0 days 00:01:31.760000,False,4142.0,4233.76,2024-07-08 00:09:02.000,2024-07-08 00:10:33.760
HAM,9.0,0 days 00:01:31.564000,False,4233.76,4325.324,2024-07-08 00:10:33.760,2024-07-08 00:12:05.323
HAM,10.0,0 days 00:01:31.515000,False,4325.324,4416.839,2024-07-08 00:12:05.323,2024-07-08 00:13:36.839
HAM,11.0,0 days 00:01:31.487000,False,4416.839,4508.326,2024-07-08 00:13:36.839,2024-07-08 00:15:08.326
HAM,12.0,0 days 00:01:31.563000,False,4508.326,4599.889,2024-07-08 00:15:08.326,2024-07-08 00:16:39.889
HAM,13.0,0 days 00:01:31.881000,False,4599.889,4691.77,2024-07-08 00:16:39.889,2024-07-08 00:18:11.770
HAM,14.0,0 days 00:01:31.609000,False,4691.77,4783.379,2024-07-08 00:18:11.770,2024-07-08 00:19:43.379
HAM,15.0,0 days 00:01:31.563000,False,4783.379,4874.942,2024-07-08 00:19:43.379,2024-07-08 00:21:14.942
HAM,16.0,0 days 00:01:31.931000,False,4874.942,4966.873,2024-07-08 00:21:14.942,2024-07-08 00:22:46.873
HAM,17.0,0 days 00:01:33.721000,False,4966.873,5060.594,2024-07-08 00:22:46.873,2024-07-08 00:24:20.594
HAM,18.0,0 days 00:01:35.071000,False,5060.594,5155.665,2024-07-08 00:24:20.594,2024-07-08 00:25:55.665
HAM,19.0,0 days 00:01:43.711000,False,5155.665,5259.376,2024-07-08 00:25:55.665,2024-07-08 00:27:39.376
HAM,20.0,0 days 00:01:40.021000,False,5259.376,5359.397,2024-07-08 00:27:39.376,2024-07-08 00:29:19.397
HAM,21.0,0 days 00:01:32.156000,False,5359.397,5451.553,2024-07-08 00:29:19.397,2024-07-08 00:30:51.553
HAM,22.0,0 days 00:01:31.095000,True,5451.553,5542.648,2024-07-08 00:30:51.553,2024-07-08 00:32:22.648
HAM,23.0,0 days 00:01:31.107000,False,5542.648,5633.755,2024-07-08 00:32:22.648,2024-07-08 00:33:53.755
HAM,24.0,0 days 00:01:31.635000,False,5633.755,5725.39,2024-07-08 00:33:53.755,2024-07-08 00:35:25.390
HAM,25.0,0 days 00:01:34.988000,False,5725.39,5820.378,2024-07-08 00:35:25.390,2024-07-08 00:37:00.378
HAM,26.0,0 days 00:01:40.792000,False,5820.378,5921.17,2024-07-08 00:37:00.378,2024-07-08 00:38:41.170
HAM,27.0,0 days 00:01:45.183000,False,5921.17,6026.353,2024-07-08 00:38:41.170,2024-07-08 00:40:26.353
HAM,28.0,0 days 00:02:00.866000,False,6026.353,6147.219,2024-07-08 00:40:26.353,2024-07-08 00:42:27.219
HAM,29.0,0 days 00:01:40.420000,False,6147.219,6247.639,2024-07-08 00:42:27.219,2024-07-08 00:44:07.639
HAM,30.0,0 days 00:01:40.467000,False,6247.639,6348.106,2024-07-08 00:44:07.639,2024-07-08 00:45:48.106
HAM,31.0,0 days 00:01:41.538000,False,6348.106,6449.644,2024-07-08 00:45:48.106,2024-07-08 00:47:29.644
HAM,32.0,0 days 00:01:42.475000,False,6449.644,6552.119,2024-07-08 00:47:29.644,2024-07-08 00:49:12.119
HAM,33.0,0 days 00:01:42.435000,False,6552.119,6654.554,2024-07-08 00:49:12.119,2024-07-08 00:50:54.554
HAM,34.0,0 days 00:01:42.757000,False,6654.554,6757.311,2024-07-08 00:50:54.554,2024-07-08 00:52:37.311
