match_title,date,game_number,duration,url
NS vs Dplus KIA,250907,1,36:50,https://gol.gg//game/stats/72265/page-summary/
NS vs Dplus KIA,250907,2,33:57,https://gol.gg//game/stats/72265/page-summary/
NS vs Dplus KIA,250907,3,37:58,https://gol.gg//game/stats/72265/page-summary/
OK BRION vs Dplus KIA,250906,1,32:43,https://gol.gg//game/stats/72199/page-summary/
OK BRION vs Dplus KIA,250906,2,27:31,https://gol.gg//game/stats/72199/page-summary/
OK BRION vs Dplus KIA,250906,3,27:39,https://gol.gg//game/stats/72199/page-summary/
OK BRION vs Dplus KIA,250906,4,27:41,https://gol.gg//game/stats/72199/page-summary/
NS vs BNK FearX,250905,1,28:52,https://gol.gg//game/stats/72194/page-summary/
NS vs BNK FearX,250905,2,28:30,https://gol.gg//game/stats/72194/page-summary/
NS vs BNK FearX,250905,3,33:13,https://gol.gg//game/stats/72194/page-summary/
NS vs BNK FearX,250905,4,28:14,https://gol.gg//game/stats/72194/page-summary/
Dplus KIA vs BNK FearX,250904,1,30:27,https://gol.gg//game/stats/72029/page-summary/
Dplus KIA vs BNK FearX,250904,2,28:04,https://gol.gg//game/stats/72029/page-summary/
Dplus KIA vs BNK FearX,250904,3,27:23,https://gol.gg//game/stats/72029/page-summary/
Dplus KIA vs BNK FearX,250904,4,38:01,https://gol.gg//game/stats/72029/page-summary/
Dplus KIA vs BNK FearX,250904,5,30:57,https://gol.gg//game/stats/72029/page-summary/
NS vs OK BRION,250903,1,24:47,https://gol.gg//game/stats/72024/page-summary/
NS vs OK BRION,250903,2,30:55,https://gol.gg//game/stats/72024/page-summary/
NS vs OK BRION,250903,3,27:10,https://gol.gg//game/stats/72024/page-summary/
NS vs OK BRION,250903,4,28:45,https://gol.gg//game/stats/72024/page-summary/
NS vs OK BRION,250903,5,26:23,https://gol.gg//game/stats/72024/page-summary/
