match_title,date,game_number,duration,url
HLE vs GEN,250928,1,30:34,https://gol.gg//game/stats/72638/page-summary/
HLE vs GEN,250928,2,39:41,https://gol.gg//game/stats/72638/page-summary/
HLE vs GEN,250928,3,28:56,https://gol.gg//game/stats/72638/page-summary/
HLE vs GEN,250928,4,42:21,https://gol.gg//game/stats/72638/page-summary/
KT Rolster vs GEN,250927,1,33:04,https://gol.gg//game/stats/72551/page-summary/
KT Rolster vs GEN,250927,2,28:53,https://gol.gg//game/stats/72551/page-summary/
KT Rolster vs GEN,250927,3,30:12,https://gol.gg//game/stats/72551/page-summary/
GEN vs T1,250921,1,35:59,https://gol.gg//game/stats/72526/page-summary/
GEN vs T1,250921,2,28:40,https://gol.gg//game/stats/72526/page-summary/
GEN vs T1,250921,3,33:32,https://gol.gg//game/stats/72526/page-summary/
GEN vs T1,250921,4,28:07,https://gol.gg//game/stats/72526/page-summary/
GEN vs T1,250921,5,32:13,https://gol.gg//game/stats/72526/page-summary/
KT Rolster vs HLE,250920,1,31:00,https://gol.gg//game/stats/72518/page-summary/
KT Rolster vs HLE,250920,2,31:28,https://gol.gg//game/stats/72518/page-summary/
KT Rolster vs HLE,250920,3,28:09,https://gol.gg//game/stats/72518/page-summary/
T1 vs Dplus KIA,250918,1,30:20,https://gol.gg//game/stats/72513/page-summary/
T1 vs Dplus KIA,250918,2,34:43,https://gol.gg//game/stats/72513/page-summary/
T1 vs Dplus KIA,250918,3,28:33,https://gol.gg//game/stats/72513/page-summary/
T1 vs Dplus KIA,250918,4,33:50,https://gol.gg//game/stats/72513/page-summary/
Dplus KIA vs BNK FearX,250917,1,42:26,https://gol.gg//game/stats/72411/page-summary/
Dplus KIA vs BNK FearX,250917,2,30:07,https://gol.gg//game/stats/72411/page-summary/
Dplus KIA vs BNK FearX,250917,3,29:40,https://gol.gg//game/stats/72411/page-summary/
Dplus KIA vs BNK FearX,250917,4,29:07,https://gol.gg//game/stats/72411/page-summary/
HLE vs T1,250914,1,36:10,https://gol.gg//game/stats/72421/page-summary/
HLE vs T1,250914,2,40:45,https://gol.gg//game/stats/72421/page-summary/
HLE vs T1,250914,3,30:55,https://gol.gg//game/stats/72421/page-summary/
GEN vs KT Rolster,250913,1,29:08,https://gol.gg//game/stats/72416/page-summary/
GEN vs KT Rolster,250913,2,38:32,https://gol.gg//game/stats/72416/page-summary/
GEN vs KT Rolster,250913,3,32:49,https://gol.gg//game/stats/72416/page-summary/
GEN vs KT Rolster,250913,4,38:02,https://gol.gg//game/stats/72416/page-summary/
GEN vs KT Rolster,250913,5,41:41,https://gol.gg//game/stats/72416/page-summary/
KT Rolster vs BNK FearX,250911,1,32:20,https://gol.gg//game/stats/72273/page-summary/
KT Rolster vs BNK FearX,250911,2,27:33,https://gol.gg//game/stats/72273/page-summary/
KT Rolster vs BNK FearX,250911,3,33:00,https://gol.gg//game/stats/72273/page-summary/
KT Rolster vs BNK FearX,250911,4,30:07,https://gol.gg//game/stats/72273/page-summary/
T1 vs Dplus KIA,250910,1,34:25,https://gol.gg//game/stats/72268/page-summary/
T1 vs Dplus KIA,250910,2,34:51,https://gol.gg//game/stats/72268/page-summary/
T1 vs Dplus KIA,250910,3,28:03,https://gol.gg//game/stats/72268/page-summary/
T1 vs Dplus KIA,250910,4,31:27,https://gol.gg//game/stats/72268/page-summary/
T1 vs Dplus KIA,250910,5,28:54,https://gol.gg//game/stats/72268/page-summary/
