match_title,date,game_number,duration,url
HLE vs T1,250615,1,30:55,https://gol.gg//game/stats/69151/page-summary/
HLE vs T1,250615,2,33:55,https://gol.gg//game/stats/69151/page-summary/
HLE vs T1,250615,3,25:31,https://gol.gg//game/stats/69151/page-summary/
T1 vs KT Rolster,250614,1,35:33,https://gol.gg//game/stats/69136/page-summary/
T1 vs KT Rolster,250614,2,31:31,https://gol.gg//game/stats/69136/page-summary/
T1 vs KT Rolster,250614,3,33:35,https://gol.gg//game/stats/69136/page-summary/
T1 vs KT Rolster,250614,4,30:53,https://gol.gg//game/stats/69136/page-summary/
GEN vs HLE,250613,1,49:04,https://gol.gg//game/stats/68995/page-summary/
GEN vs HLE,250613,2,33:13,https://gol.gg//game/stats/68995/page-summary/
GEN vs HLE,250613,3,28:54,https://gol.gg//game/stats/68995/page-summary/
GEN vs HLE,250613,4,32:21,https://gol.gg//game/stats/68995/page-summary/
GEN vs HLE,250613,5,34:44,https://gol.gg//game/stats/68995/page-summary/
NS vs KT Rolster,250608,1,27:46,https://gol.gg//game/stats/68990/page-summary/
NS vs KT Rolster,250608,2,26:48,https://gol.gg//game/stats/68990/page-summary/
NS vs KT Rolster,250608,3,29:06,https://gol.gg//game/stats/68990/page-summary/
KT Rolster vs Dplus KIA,250607,1,38:15,https://gol.gg//game/stats/68860/page-summary/
KT Rolster vs Dplus KIA,250607,2,28:57,https://gol.gg//game/stats/68860/page-summary/
KT Rolster vs Dplus KIA,250607,3,33:31,https://gol.gg//game/stats/68860/page-summary/
