datetime_kst,author,message,format,clean_text,masked_emotion,masked_score
2025-07-25 17:28:39+09:00,UC4aOdeQwELfxHlIMYUkh9Iw,그웬 챔 저거 맞냐 ㅋㅋㅋ,R3~5,그웬 챔 저거 맞냐 ㅋㅋ,4,0.67177165
2025-04-12 16:03:53+09:00,UCjAHFy58aV0qNzwDfIDfM_Q,한화 화이팅!! ,R1~2,한화 화이팅!!,4,0.8163962
2025-08-15 17:48:23+09:00,UCucIoHj8-ayCEt0lvTL8h0Q,헉,R3~5,헉,6,0.8590051
2025-08-23 17:36:50+09:00,UCKnAVE__ZEYsQeFmCoTcdcA,ㅋㅋㅋㅋㅋ,R3~5,ㅋㅋ,4,0.9113215
2025-05-15 17:40:28+09:00,UCuKq3aFcNqsoS3oule3dMbg,ㅋㅋㅋㅋㅋㅋ,R1~2,ㅋㅋ,4,0.9113215
2025-06-04 19:06:41+09:00,UClPPCPHOeghpW1BRaJuromw,5정글밴 ㄷㄷ,R1~2,5정글밴 ㄷㄷ,6,0.85127807
2025-09-04 17:39:17+09:00,UCGWb0iDnL5b2J4CHa22qj4g,구마 코르키랑 다른거 보소,PLAY-IN,구마 코르키랑 다른거 보소,6,0.84737676
2025-05-14 18:12:09+09:00,UCoFeWO30gqjLX_JI_DOKvXQ,?,R1~2,?,6,0.7238622
2025-09-05 17:04:03+09:00,UClKqxqaIny9bkPnAXU9CQrQ,족보닷컴 스티커 킹받네,PLAY-IN,족보닷컴 스티커 킹받네,1,0.94012713
2025-08-22 17:38:57+09:00,UC41_JMt7BRdoQr0hYsqwcZg,노플인데 왜 혼자 시야없이 저길 가지,R3~5,노플인데 왜 혼자 시야없이 저길 가지,1,0.83748156
2025-06-15 17:32:18+09:00,UC4y1DwVn6YLaYchCZ_msKXw,두부?,RTM,두부?,0,0.6459525
2025-08-24 19:02:39+09:00,UC2MjNywzaLxiVrjW-dEObtQ,비디디 pom 줘라,R3~5,비디디 pom 줘라,0,0.73849607
2025-05-09 18:25:45+09:00,UCfeV-NF7GVdS3xOcvRR5TjA,근데 지금 dnf에 누가 오든 저거 살릴 수 있을거 같지는 않음,R1~2,근데 지금 dnf에 누가 오든 저거 살릴 수 있을거 같지는 않음,5,0.871827
2025-06-04 18:53:43+09:00,UC03n_bD0F4H5-_jo0JMaeGA,ㅋㅋㅋㅋㅋㅋ진 레전드네,R1~2,ㅋㅋ진 레전드네,4,0.9385874
2025-05-28 18:15:56+09:00,UC-3cMZK8QlmAaxvodYgVHPw,아쎄이,R1~2,아쎄이,4,0.7656695
2025-05-09 19:27:37+09:00,UC51jrv_gvcgNvrn6EnyzOpg,응 3용이야,R1~2,응 3용이야,0,0.7087187
2025-05-15 18:32:38+09:00,UCYW7yjAVf1MXt0L0FPutSog,제우스 잘팔았노ㅋㅋㅋ,R1~2,제우스 잘팔았노ㅋㅋ,4,0.92824894
2025-08-21 17:51:46+09:00,UCKyJfx-vLTIo2G8GcNGznaw,제카 갈리오해서 이기는 꼬라지를 못보네,R3~5,제카 갈리오해서 이기는 꼬라지를 못보네,1,0.96933514
2025-04-06 19:01:07+09:00,UCt-hSlHifryYiNhGjzjp3aw,ㅋㅋ 원딜 2렙차,R1~2,ㅋㅋ 원딜 2렙차,4,0.93487823
2025-04-30 17:59:11+09:00,UCv-d6LvkhUlW2I5yw24JgrA,이제 담원기아 차례구낭 3세트는 디플러스기아 될예정,R1~2,이제 담원기아 차례구낭 3세트는 디플러스기아 될예정,0,0.8171812
2025-08-07 22:15:58+09:00,UCsJlimnsH1fuJDPsgX6W7RQ,듀로 빨리 룰러한테 킬 옮겨라,R3~5,듀로 빨리 룰러한테 킬 옮겨라,0,0.5851914
2025-04-26 15:16:28+09:00,UCdG9rDzNYvwIlvdtZrToIsA,4연패 드가자 드가자,R1~2,4연패 드가자 드가자,4,0.7392083
2025-09-21 17:17:51+09:00,UCoOTxdMtq1f3xw3l3rIb0Zg,올프로 퍼스트는 우승을 할수없다 ㄷㄷㄷㄷ,PLAYOFF,올프로 퍼스트는 우승을 할수없다 ㄷㄷ,6,0.7164534
2025-05-07 20:39:01+09:00,UC7Ti3wByEPbyoyZxyafZnmA,해설 존나웃기네 ㅋㅋㅋ 올라갑니다아~!!!,R1~2,해설 존나웃기네 ㅋㅋ 올라갑니다아 !!,4,0.94536954
2025-04-12 16:36:23+09:00,UCnqaJIJ362o4zsZGnqUKFQw,??….,R1~2,?? .,6,0.7414358
2025-09-05 17:32:10+09:00,UC1OhbP1nPNucUCtlogIjH9g,퍼리가 뭐임?????,PLAY-IN,퍼리가 뭐임??,0,0.46713248
2025-07-30 21:10:17+09:00,UCec8ZeT1YtFpXDFSPW0gHFQ,대리아!,R3~5,대리아!,4,0.63781226
2025-08-13 17:55:25+09:00,UCHK5IebDr84svQ6oTMQ1NrQ,지가 듀로인줄아나,R3~5,지가 듀로인줄아나,1,0.9189313
2025-05-22 19:42:15+09:00,UCXeJPYMg6I_vbGRjcXRWlrA,도란아 사랑해,R1~2,도란아 사랑해,4,0.90284586
2025-04-27 17:26:54+09:00,UC9MUDYEEe4LscNn49E6hypg,좀 아니다 페이커 몇번을 끌리냐 ㅋㅋㅋㅋㅋ,R1~2,좀 아니다 페이커 몇번을 끌리냐 ㅋㅋ,5,0.8372844
2025-08-27 17:59:54+09:00,UCony1QTCk_dv3gkSXqklSyw,?,R3~5,?,6,0.72386205
2025-07-25 22:45:35+09:00,UCc5yEs_h7QLDpq45kx94O1w,브레멘 음악대 ㄷ,R3~5,브레멘 음악대 ㄷ,6,0.76091
2025-04-18 17:28:12+09:00,UCJc8igG_ZjMmzKJIFImVsPw,스매쉬 저걸 못잡냐,R1~2,스매쉬 저걸 못잡냐,1,0.9536306
2025-09-10 20:33:46+09:00,UC4vkxCHVtFDrDym_e6B5vgA,상현의 수치다.. 하현의 왕으로 가라 그냥..,PLAYOFF,상현의 수치다.. 하현의 왕으로 가라 그냥..,1,0.97810227
2025-05-04 18:15:04+09:00,UCJVO8YZFS_Q_oRWMBUrUwEw,총? 대? 총대? 혼자 꼴아박고 왜 호응 안함을 총대라고 하냐?,R1~2,총? 대? 총대? 혼자 꼴아박고 왜 호응 안함을 총대라고 하냐?,1,0.9464732
2025-09-10 17:46:40+09:00,UCl-2U5tR8jvLsxme83fLgTA,암베사 잘 뺏었네,PLAYOFF,암베사 잘 뺏었네,4,0.8899146
2025-05-14 21:31:57+09:00,UCpR_7uSsz4X4pEn0ggx_mFA,캬 쇼메 던지고 바론이면 개싸게 먹었네,R1~2,캬 쇼메 던지고 바론이면 개싸게 먹었네,4,0.8816115
2025-09-28 15:05:21+09:00,UCLUV_UaT9bMrZgBGIALDi5w,월즈 젠지 우승,PLAYOFF,월즈 젠지 우승,0,0.6274362
2025-09-13 18:13:15+09:00,UCagl00rKLS1oQVIERxoY8iA,대황비!,PLAYOFF,대황비!,4,0.92421615
2025-05-22 20:19:44+09:00,UC6NmKm7CeF3RIh6JTRNas3w,이때를 틈타 바로 욕하는게 무섭긴하네 ㅋㅋㅋㅋ,R1~2,이때를 틈타 바로 욕하는게 무섭긴하네 ㅋㅋ,1,0.80030537
2025-08-30 17:37:27+09:00,UCVGhI8AnuefjQh-w1R8FzQQ,제이카 그리고 유나라,R3~5,제이카 그리고 유나라,0,0.6018515
2025-05-14 18:02:59+09:00,UCG3OH9OylUrOncAJAhEHs7w,이번엔 농심이 이겼네,R1~2,이번엔 농심이 이겼네,0,0.6695791
2025-04-06 17:28:54+09:00,UCU9ilsjJ6e8Un2RIV07AstQ,브금이 모범택시네,R1~2,브금이 모범택시네,4,0.8671237
2025-09-06 15:28:39+09:00,UCWtKBxUc9heyp5xeBL0PlNQ,쇼메이커 폼 너무 좋다,PLAY-IN,쇼메이커 폼 너무 좋다,4,0.96163154
2025-09-14 14:53:02+09:00,UCXlsyaRbLn1cjq9E_HdeqAg,티원 화이팅,PLAYOFF,티원 화이팅,0,0.7714811
2025-06-13 21:43:38+09:00,UCM8QLuw2_01OG7NwHCLlEXw,ㅅㅅ,RTM,ㅅㅅ,4,0.9422979
2025-09-03 16:45:41+09:00,UCQw9ACRQfJfbdfYzQ55Csag,힘내요 농심 ,PLAY-IN,힘내요 농심,4,0.8382194
2025-08-08 17:44:31+09:00,UCANaMYjkqVVNgydA3s2hy4Q,날 버린 닭집을 부순다,R3~5,날 버린 닭집을 부순다,1,0.7910366
2025-06-14 16:14:56+09:00,UCC3GX6gmS4VTwF5Diq-HYNA,이기는데 코르키를 해?,RTM,이기는데 코르키를 해?,1,0.90517443
2025-05-07 17:38:29+09:00,UCm0p-Ebj8iDJdNPDFJOonJQ,제우스보면 사기시절페이커떠오르긴함,R1~2,제우스보면 사기시절페이커떠오르긴함,0,0.7346045
2025-04-12 15:26:30+09:00,UC7VJWxp6juiLg8ZAdvkokiQ,그지같은….,R1~2,그지같은 .,1,0.94743955
2025-09-18 19:57:11+09:00,UCwcSIbE2hKSNGkmeWtzd_UQ,가즈아 베릴,PLAYOFF,가즈아 베릴,0,0.7790598
2025-09-18 19:31:28+09:00,UCDKlesXoArm3VgoBEGXuWDg,t1 WIN GG,PLAYOFF,t1 WIN GG,0,0.6122158
2025-09-05 17:19:56+09:00,UCzEPvOO3K2Gwl2LYWLKQk4g,약팀 판독기 = 농심,PLAY-IN,약팀 판독기 농심,0,0.802118
2025-08-07 19:20:44+09:00,UCg_7zxre-z9nCid3yopGhng,?,R3~5,?,6,0.72386205
2025-08-13 18:15:43+09:00,UCm8nackPxV75cWiVGJxuylQ,웨이. 사람 아니구나ㅋㅋ,R3~5,웨이. 사람 아니구나ㅋㅋ,1,0.8861454
2025-04-12 16:13:39+09:00,UC8tyy7Tl9rprHC432b7AbAw,도루마무~,R1~2,도루마무,0,0.7742202
2025-05-01 17:34:43+09:00,UC2scyRO2VOjjPEjcPnhZ9rg,888888888 4후르!!!!!!,R1~2,88 4후르!!,4,0.7704712
2025-09-20 17:31:36+09:00,UCsUzDI1y3AvNQfIsNqlSQDg,한화 다 잘했다,PLAYOFF,한화 다 잘했다,4,0.8942763
2025-08-30 16:39:16+09:00,UCb2RQ2SdjBNou_0FXI2Kayg,도란이 죽쓰니까 원사이드네,R3~5,도란이 죽쓰니까 원사이드네,0,0.63985145
2025-06-08 16:48:26+09:00,UCGcb7-K1k8t9E9QX1LFupYw,대상혁 숭배는 보성씨,RTM,대상혁 숭배는 보성씨,0,0.7941812
2025-09-04 17:35:17+09:00,UCXhzKe1yCgf7xfmyQJVERbw,채팅 역한사람들 너무 많아요!,PLAY-IN,채팅 역한사람들 너무 많아요!,1,0.9823199
2025-08-06 18:25:05+09:00,UCL971ViglZ0x42sQLhGfkNw,?,R3~5,?,6,0.72386205
2025-04-16 18:41:01+09:00,UCtBvhtrEYoxHum4wKStSfHg,3셋은 티원이 무조건이긴다 ㅋ,R1~2,3셋은 티원이 무조건이긴다 ㅋ,0,0.7633686
2025-04-10 20:25:28+09:00,UC2fR9bOOVmqrNUimz_a07dw,굿바이 구마유시,R1~2,굿바이 구마유시,0,0.7961463
2025-05-21 19:14:16+09:00,UCZSj5lJs2BoGt-m7PYr7pcw,천라지망을 펼쳐라!!,R1~2,천라지망을 펼쳐라!!,0,0.78107375
2025-09-10 20:30:33+09:00,UCbnp4pPx2tPwze3q7w6IuRA,다드리겠스 운영 ㄷㄷ,PLAYOFF,다드리겠스 운영 ㄷㄷ,6,0.7813043
2025-08-07 20:25:13+09:00,UC13m8TXCUJzav8D30rYjg6A,오늘은 입t추1입니다,R3~5,오늘은 입t추1입니다,0,0.75958365
2025-09-13 16:02:38+09:00,UCeQiNI-KlBI4vjs9-vJQ4yA,업 상 혁,PLAYOFF,업 상 혁,0,0.76269335
2025-06-14 16:47:44+09:00,UCeCkvhJVyMvNqL42rn6ypMA,다들 돌진박을때 자르반이 진 머갈통 깨는 조합인데,RTM,다들 돌진박을때 자르반이 진 머갈통 깨는 조합인데,1,0.7225012
2025-04-27 15:46:04+09:00,UCOsDRJJElZihNy0C9MX8PIQ,이걸 지냐,R1~2,이걸 지냐,1,0.9248735
2025-09-03 20:47:55+09:00,UC4_HY69j7wMFxpFl_2uePig,사일 먹을 정글 NTR 당했네,PLAY-IN,사일 먹을 정글 NTR 당했네,6,0.8248441
2025-09-14 17:43:47+09:00,UC2L-UeRWdzsyenh_h4sjrQQ,?,PLAYOFF,?,6,0.72386265
2025-09-10 21:08:44+09:00,UCvrHwFS9_-GCZUfo9aHdAMA,이걸 또 5꽉을 가네 ㅋㅋㅋㅋㅋㅋㅋ,PLAYOFF,이걸 또 5꽉을 가네 ㅋㅋ,1,0.94381744
2025-05-15 22:01:02+09:00,UCpY_SyFs6-QCLG7rvT17bhw,브리온이 티원을 이긴다고?,R1~2,브리온이 티원을 이긴다고?,6,0.72482574
2025-09-14 15:05:27+09:00,UCCSbHQQpgD-giC4Imys9b8A,켄치 화이팅!!!!,PLAYOFF,켄치 화이팅!!,4,0.77430856
2025-05-01 18:21:23+09:00,UCd2QrrLZLEjLlai4oGKfYCw,이퀄 라인에 깔면되는걸 ㄷㄷ,R1~2,이퀄 라인에 깔면되는걸 ㄷㄷ,1,0.88364106
2025-04-18 19:11:12+09:00,UC2thATgw9MFtPESB_S0W0Hg,웰컴백 스매쉬,R1~2,웰컴백 스매쉬,4,0.75236684
2025-07-27 15:43:18+09:00,UCCC7aaxq1wF8EIb8usLXc_w,2천골드짜리 데스,R3~5,2천골드짜리 데스,0,0.77970874
2025-05-16 20:23:55+09:00,UCDoqc_lics0ywpnq3HC1sMA,와 진짜 못싸운다 ㅋㅋㅋㅋㅋ,R1~2,와 진짜 못싸운다 ㅋㅋ,6,0.8487799
2025-04-12 16:22:51+09:00,UCV3xfy2Pmly02gxUgq-2wxw,그래도 라인스왑 늦어져서 재밌따잉,R1~2,그래도 라인스왑 늦어져서 재밌따잉,4,0.89287776
2025-06-15 15:24:43+09:00,UCaVYMjV9JvaSim8gatTUwxQ,한화 몇번째고,RTM,한화 몇번째고,0,0.7236362
2025-06-13 18:30:57+09:00,UCx7yegcxdzMixA3ue04BBRA,애쉬브라움?,RTM,애쉬브라움?,0,0.73846066
2025-06-15 17:36:55+09:00,UCUzBZZO3dmjEydrwCsgAVRQ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제우스 버리고 도란선택은 신의한수였다! 메인 국제대회 msi 구경도 못하고 따잇? 또 한화는 msi 구경도 못하는것인가!!!!!!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제우스 버리고 도란선택은 신의한수였다! 메인 국제대회 msi 구경도 못하고 따잇? 또 한화는 msi 구경도 못하는것인가!!!!!!!ㅋㅋㅋㅋㅋㅋㅋㅋ,RTM,ㅋㅋ 제우스 버리고 도란선택은 신의한수였다! 메인 국제대회 msi 구경도 못하고 따잇? 또 한화는 msi 구경도 못하는것인가!!ㅋㅋ 제우스 버리고 도란선택은 신의한수였다! 메인 국제대회 msi 구경도 못하고 따잇? 또 한화는 msi 구경도 못하는것인가!!ㅋㅋ,1,0.837232
2025-07-27 16:38:32+09:00,UCmnGUebpmn8z6QY-O994vIA,히오쑤왕 다시 히오스 와라...,R3~5,히오쑤왕 다시 히오스 와라..,0,0.7149686
2025-05-24 16:15:41+09:00,UCk1H3BcRqdK_iS4BuFJJIZA,1세트 압도적 승리 2세트 비비다가 패배 3세트 압도적 패배 그 패턴 시작 ㅋㅋㅋ,R1~2,1세트 압도적 승리 2세트 비비다가 패배 3세트 압도적 패배 그 패턴 시작 ㅋㅋ,1,0.6197768
2025-04-27 15:17:19+09:00,UCqxkGge_biyPm1ba3mngk5A,신 마 유시,R1~2,신 마 유시,0,0.66009617
2025-04-10 20:51:40+09:00,UCmDSasKAm9ewoSrd0K3Ayjw,구마유시 화이팅!!!,R1~2,구마유시 화이팅!!,4,0.78957826
2025-07-30 21:14:16+09:00,UC4aOdeQwELfxHlIMYUkh9Iw,아무 의미없는 킬 ㅋㅋㅋㅋ,R3~5,아무 의미없는 킬 ㅋㅋ,1,0.7374589
2025-04-25 19:26:26+09:00,UCnE_iLlMAVHqnpY1M7Y2hgg,엄란,R1~2,엄란,0,0.5160467
2025-04-27 16:11:00+09:00,UCurQx8afGH8_WL5VOP_NxBA,너거인생부터좀 이겨 ㅋㅋ,R1~2,너거인생부터좀 이겨 ㅋㅋ,2,0.8437825
2025-05-17 20:13:41+09:00,UCDdh1CiQh5GNmJwSA52rs4A,진짜 ㅋㅋㅋ,R1~2,진짜 ㅋㅋ,4,0.8775013
2025-09-27 16:44:51+09:00,UCPxCT0jrTRmAj6UKasC8YMg,드럽게 재미없고,PLAYOFF,드럽게 재미없고,1,0.90333986
2025-06-13 19:30:03+09:00,UCv13diXjRVNKF6yVLlKfIXw,와 오늘 제카 잘하네,RTM,와 오늘 제카 잘하네,4,0.95298743
2025-04-18 18:43:48+09:00,UCe-wUdlowFFY-jd74Ub6qPA,아,R1~2,아,6,0.7757567
2025-08-24 17:47:09+09:00,UCDtu9KAT2L2pQ5pmgTu2UtQ,도란아 미안해 돌아와줘ㅠㅠㅠ,R3~5,도란아 미안해 돌아와줘ㅠㅠ,5,0.7739597
2025-09-13 15:00:31+09:00,UCTLFDkKGukognrI7aBSIdCg,양심이업노 ㅋㅋ,PLAYOFF,양심이업노 ㅋㅋ,1,0.9033627
2025-05-14 17:20:21+09:00,UCMpEY9g9GJ9SszIknLRBcTQ,빅라 마스터 솔랭도 캐리 힘들어보이는데,R1~2,빅라 마스터 솔랭도 캐리 힘들어보이는데,5,0.6857003
2025-05-17 16:11:58+09:00,UCjSjhhF2JwXD7k09unhWDWw,리치 예전에 젠지 미드였음 ㅋㅋㅋㅋ,R1~2,리치 예전에 젠지 미드였음 ㅋㅋ,4,0.9333888
2025-09-13 15:07:26+09:00,UCVGpsewIsFtXwtl5isz29wg,다 풀어주고 설렁설렁 해서 젠지는 져라 그래야 잼있어지지,PLAYOFF,다 풀어주고 설렁설렁 해서 젠지는 져라 그래야 잼있어지지,1,0.6242226
