lap_number,lap_start_kst,lap_end_kst
1,,
2,2024-12-08 22:05:08.545000+09:00,2024-12-08 22:06:58.315000+09:00
3,2024-12-08 22:06:58.190000+09:00,2024-12-08 22:08:40.985000+09:00
4,2024-12-08 22:08:40.895000+09:00,2024-12-08 22:10:09.890000+09:00
5,2024-12-08 22:10:10.031000+09:00,2024-12-08 22:11:39.281000+09:00
6,2024-12-08 22:11:39.344000+09:00,2024-12-08 22:13:08.597000+09:00
7,2024-12-08 22:13:08.506000+09:00,2024-12-08 22:14:37.569000+09:00
8,2024-12-08 22:14:37.660000+09:00,2024-12-08 22:16:06.862000+09:00
9,2024-12-08 22:16:06.862000+09:00,2024-12-08 22:17:36.049000+09:00
10,2024-12-08 22:17:36.062000+09:00,2024-12-08 22:19:05.382000+09:00
11,2024-12-08 22:19:05.297000+09:00,2024-12-08 22:20:34.543000+09:00
12,2024-12-08 22:20:34.557000+09:00,2024-12-08 22:22:03.707000+09:00
13,2024-12-08 22:22:03.727000+09:00,2024-12-08 22:23:32.919000+09:00
14,2024-12-08 22:23:32.890000+09:00,2024-12-08 22:25:02.030000+09:00
15,2024-12-08 22:25:02.008000+09:00,2024-12-08 22:26:31.230000+09:00
16,2024-12-08 22:26:31.326000+09:00,2024-12-08 22:28:00.550000+09:00
17,2024-12-08 22:28:00.433000+09:00,2024-12-08 22:29:29.620000+09:00
18,2024-12-08 22:29:29.763000+09:00,2024-12-08 22:30:58.773000+09:00
19,2024-12-08 22:30:58.713000+09:00,2024-12-08 22:32:28.033000+09:00
20,2024-12-08 22:32:28.084000+09:00,2024-12-08 22:33:57.292000+09:00
21,2024-12-08 22:33:57.209000+09:00,2024-12-08 22:35:26.400000+09:00
22,2024-12-08 22:35:26.403000+09:00,2024-12-08 22:36:55.312000+09:00
23,2024-12-08 22:36:55.368000+09:00,2024-12-08 22:38:24.525000+09:00
24,2024-12-08 22:38:24.439000+09:00,2024-12-08 22:39:53.811000+09:00
25,2024-12-08 22:39:53.893000+09:00,2024-12-08 22:41:24.735000+09:00
26,2024-12-08 22:41:24.659000+09:00,2024-12-08 22:43:12.216000+09:00
27,2024-12-08 22:43:12.383000+09:00,2024-12-08 22:44:40.560000+09:00
28,2024-12-08 22:44:40.252000+09:00,2024-12-08 22:46:08.734000+09:00
29,2024-12-08 22:46:08.881000+09:00,2024-12-08 22:47:37.280000+09:00
30,2024-12-08 22:47:37.372000+09:00,2024-12-08 22:49:05.556000+09:00
31,2024-12-08 22:49:05.486000+09:00,2024-12-08 22:50:33.874000+09:00
32,2024-12-08 22:50:33.905000+09:00,2024-12-08 22:52:02.238000+09:00
33,2024-12-08 22:52:02.198000+09:00,2024-12-08 22:53:30.568000+09:00
34,2024-12-08 22:53:30.666000+09:00,2024-12-08 22:54:58.917000+09:00
35,2024-12-08 22:54:58.792000+09:00,2024-12-08 22:56:27.012000+09:00
36,2024-12-08 22:56:27.144000+09:00,2024-12-08 22:57:55.511000+09:00
37,2024-12-08 22:57:55.441000+09:00,2024-12-08 22:59:23.643000+09:00
38,2024-12-08 22:59:23.644000+09:00,2024-12-08 23:00:51.747000+09:00
39,2024-12-08 23:00:51.704000+09:00,2024-12-08 23:02:19.628000+09:00
40,2024-12-08 23:02:19.657000+09:00,2024-12-08 23:03:48.319000+09:00
41,2024-12-08 23:03:48.339000+09:00,2024-12-08 23:05:16.371000+09:00
42,2024-12-08 23:05:16.334000+09:00,2024-12-08 23:06:44.589000+09:00
43,2024-12-08 23:06:44.628000+09:00,2024-12-08 23:08:12.482000+09:00
44,2024-12-08 23:08:12.542000+09:00,2024-12-08 23:09:40.690000+09:00
45,2024-12-08 23:09:40.724000+09:00,2024-12-08 23:11:09.055000+09:00
46,2024-12-08 23:11:08.881000+09:00,2024-12-08 23:12:37.563000+09:00
47,2024-12-08 23:12:37.699000+09:00,2024-12-08 23:14:06.103000+09:00
48,2024-12-08 23:14:06.086000+09:00,2024-12-08 23:15:34.230000+09:00
49,2024-12-08 23:15:34.168000+09:00,2024-12-08 23:17:02.039000+09:00
50,2024-12-08 23:17:02.106000+09:00,2024-12-08 23:18:29.991000+09:00
51,2024-12-08 23:18:30.070000+09:00,2024-12-08 23:19:58.546000+09:00
52,2024-12-08 23:19:58.396000+09:00,2024-12-08 23:21:26.662000+09:00
53,2024-12-08 23:21:26.751000+09:00,2024-12-08 23:22:55.048000+09:00
54,2024-12-08 23:22:54.949000+09:00,2024-12-08 23:24:23.132000+09:00
55,2024-12-08 23:24:23.227000+09:00,2024-12-08 23:25:50.992000+09:00
56,2024-12-08 23:25:50.928000+09:00,2024-12-08 23:27:18.753000+09:00
57,2024-12-08 23:27:18.822000+09:00,2024-12-08 23:28:46.673000+09:00
58,2024-12-08 23:28:46.591000+09:00,2024-12-08 23:30:14.622000+09:00
